TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805099, 100.00, 100.00,         0, 100.00, 100.00,   3845126, 100.00, 100.00,   1750092, 100.00, 100.00,    250648, 100.00, 100.00,   6650964, 100.00, 100.00,
    2) Non-Motorized,     34817,   4.32,   4.32,         0,      0,      0,    315046,   8.19,   8.19,    149589,   8.55,   8.55,     41922,  16.73,  16.73,    541374,   8.14,   8.14,
    2) Motorized,    770281,  95.68,  95.68,         0,      0,      0,   3530080,  91.81,  91.81,   1600503,  91.45,  91.45,    208726,  83.27,  83.27,   6109590,  91.86,  91.86
        3) Auto,    755367,  93.82,  98.06,         0,      0,      0,   3510139,  91.29,  99.44,   1595883,  91.19,  99.71,-,-,-,   6070115,  91.27,  99.35,
            4) Auto 1 pers,    627951,  78.00,  83.13,         0,      0,      0,   1259933,  32.77,  35.89,    693210,  39.61,  43.44,-,-,-,   2581094,  38.81,  42.52,
                    GP use,    627048,  77.88,  99.86,         0,      0,      0,   1259856,  32.77,  99.99,    692242,  39.55,  99.86,-,-,-,   2579146,  38.78,  99.92,
                    Toll use,       946,   0.12,   0.15,         0,      0,      0,       550,   0.01,   0.04,      1155,   0.07,   0.17,-,-,-,      2651,   0.04,   0.10
            4) Auto 2 pers,     98176,  12.19,  13.00,         0,      0,      0,   1223363,  31.82,  34.85,    449632,  25.69,  28.17,-,-,-,   1771171,  26.63,  29.18,
                    GP use,     76842,   9.54,  78.27,         0,      0,      0,   1147144,  29.83,  93.77,    404494,  23.11,  89.96,-,-,-,   1628480,  24.48,  91.94,
                    HOV use,     21338,   2.65,  21.73,         0,      0,      0,     76280,   1.98,   6.24,     45165,   2.58,  10.04,-,-,-,    142783,   2.15,   8.06,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29187,   3.63,   3.86,         0,      0,      0,   1026300,  26.69,  29.24,    452839,  25.88,  28.38,-,-,-,   1508326,  22.68,  24.85,
                    GP use,     22842,   2.84,  78.26,         0,      0,      0,    962323,  25.03,  93.77,    407362,  23.28,  89.96,-,-,-,   1392527,  20.94,  92.32,
                    HOV use,      6347,   0.79,  21.75,         0,      0,      0,     63989,   1.66,   6.23,     45486,   2.60,  10.04,-,-,-,    115822,   1.74,   7.68,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        54,   0.01,   0.01,         0,      0,      0,       548,   0.01,   0.02,       220,   0.01,   0.01,-,-,-,       822,   0.01,   0.01,
