TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    891131, 100.00, 100.00,    112531, 100.00, 100.00,   1952213, 100.00, 100.00,    862628, 100.00, 100.00,    445449, 100.00, 100.00,   4263952, 100.00, 100.00,
    2) Non-Motorized,     27436,   3.08,   3.08,     25850,  22.97,  22.97,    157656,   8.08,   8.08,     56486,   6.55,   6.55,     74759,  16.78,  16.78,    342188,   8.03,   8.03,
    2) Motorized,    863694,  96.92,  96.92,     86681,  77.03,  77.03,   1794557,  91.92,  91.92,    806142,  93.45,  93.45,    370690,  83.22,  83.22,   3921764,  91.97,  91.97
        3) Auto,    843362,  94.64,  97.65,     67024,  59.56,  77.32,   1785439,  91.46,  99.49,    804372,  93.25,  99.78,-,-,-,   3870888,  90.78,  98.70,
            4) Auto 1 pers,    724177,  81.26,  85.87,     48191,  42.82,  71.90,    575233,  29.47,  32.22,    364237,  42.22,  45.28,-,-,-,   1711838,  40.15,  44.22,
                    GP use,    723487,  81.19,  99.90,     48136,  42.78,  99.89,    575408,  29.47, 100.03,    364096,  42.21,  99.96,-,-,-,   1711125,  40.13,  99.96,
                    Toll use,       746,   0.08,   0.10,        55,   0.05,   0.11,       130,   0.01,   0.02,       266,   0.03,   0.07,-,-,-,      1197,   0.03,   0.07
            4) Auto 2 pers,     89068,   9.99,  10.56,     13823,  12.28,  20.62,    596691,  30.56,  33.42,    211632,  24.53,  26.31,-,-,-,    911213,  21.37,  23.54,
                    GP use,     66587,   7.47,  74.76,     10435,   9.27,  75.49,    559512,  28.66,  93.77,    189990,  22.02,  89.77,-,-,-,    826524,  19.38,  90.71,
                    HOV use,     22491,   2.52,  25.25,      3388,   3.01,  24.51,     37217,   1.91,   6.24,     21659,   2.51,  10.23,-,-,-,     84755,   1.99,   9.30,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     30057,   3.37,   3.56,      5010,   4.45,   7.47,    613166,  31.41,  34.34,    228372,  26.47,  28.39,-,-,-,    876605,  20.56,  22.65,
