ScreenlineID,SEGID
1.01,0015_349.4
1.01,0089_422.7
1.01,0126_020.8
1.01,UTA_9504
1.02,0015_337.0
1.02,0060_000.8
1.02,0084_081.7
1.02,0089_408.1
1.02,0126_007.7
1.02,0168_000.0
1.02,WFRC_8006
1.02,WFRC_8413
1.02,WFRC_8414
1.03,0108_000.1
1.03,0126_004.6
1.03,0193_003.8
1.03,1470_000.4
1.03,1486_000.0
1.04,0015_319.5
1.04,0067_007.3
1.04,1428_001.7
1.04,UTA_9532
1.04,WFRC_8100
1.05,0015_311.8
1.05,0068_062.6
1.05,0089_383.5
1.05,0215_025.7
1.05,2338_001.9
1.05,2367_000.4
1.05,UTA_9536
2.01,0080_113.3
2.01,0201_010.8
2.01,2250_000.0
2.01,2290_000.0
2.01,WFRC_8256
2.01,WFRC_8257
2.02,0080_117.7
2.02,0201_015.3
2.02,2250_004.6
2.02,2254_001.0
2.02,2269_000.0
2.02,2290_004.6
2.02,2292_001.1
2.02,2322_000.7
2.02,2330_001.0
2.02,UTA_0500
2.03,0015_305.2
2.03,0071_020.6
2.03,0089_376.8
2.03,0186_006.9
2.03,2076_005.1
2.03,2128_006.5
2.03,2148_004.3
2.03,2176_002.3
2.03,2178_004.1
2.03,2180_004.7
2.03,2204_002.5
2.03,2258_002.4
2.03,2264_003.2
2.03,2266_006.7
2.03,2274_000.6
2.03,2282_000.5
2.03,2284_000.5
2.03,UTA_7130
2.03,UTA_9544
2.03,WFRC_8409
2.04,0068_054.8
2.04,0111_009.6
2.04,0154_019.5
2.04,0172_004.5
2.04,0215_017.5
2.04,2040_016.1
2.04,2094_011.5
2.04,2151_001.5
2.04,2154_003.7
2.04,2156_012.1
2.04,2164_003.5
2.04,2168_002.6
2.04,2238_001.5
2.04,WFRC_8155
2.05,0071_018.3
2.05,0089_374.5
2.05,0215_000.7
2.05,2076_003.0
2.05,2148_002.0
2.05,2178_001.8
2.05,2180_002.4
2.05,2186_004.6
2.05,2191_000.0
2.05,2194_001.8
2.05,2204_000.0
2.05,2214_000.0
2.05,2264_000.9
2.05,2266_004.3
2.06,0171_008.8
2.06,0173_007.7
2.06,0266_001.7
2.06,2142_000.3
2.06,2172_008.5
2.07,0171_010.4
2.07,0173_009.6
2.07,0266_003.0
2.07,2140_002.9
2.07,2142_002.1
2.07,2172_010.4
2.07,UTA_2010
2.08,0068_045.8
2.08,0085_012.5
2.08,0154_010.4
2.08,2034_003.8
2.08,2040_007.6
2.08,2085_002.0
2.08,2094_003.0
2.08,2107_003.5
2.08,2156_003.1
2.08,2161_000.0
2.08,UTA_7328
2.08,WFRC_8250
2.08,WFRC_8322
2.08,WFRC_8326
2.09,0015_293.6
2.09,0071_009.2
2.09,0089_365.5
2.09,2068_004.4
2.09,2087_000.9
2.09,2093_003.2
2.09,2131_000.0
2.09,2133_000.0
2.09,UTA_7170
2.09,UTA_9548
2.09,WFRC_8223
2.11,0071_002.9
2.11,0151_002.5
2.11,0154_001.4
2.11,0175_002.9
2.11,0209_010.2
2.11,2080_002.5
2.12,0071_005.1
2.12,0154_000.0
2.12,0209_012.5
2.12,2049_000.0
2.12,2055_000.0
2.12,2061_000.2
2.12,2078_000.3
2.12,2080_004.8
2.12,2098_000.7
2.12,UTA_7174
3.01,0015_285.5
3.01,0068_036.0
3.01,2046_002.0
3.01,2057_001.1
3.01,UTA_7595
3.01,UTA_9559
3.01,WFRC_8433
3.02,0145_002.8
3.02,0194_001.9
3.02,2882_000.0
3.02,2895_002.4
3.02,2915_001.5
3.02,2937_003.6
3.02,UTA_9564
3.03,0015_270.6
3.03,0089_340.2
3.03,0114_006.6
3.03,0189_006.3
3.03,2946_002.2
3.03,2954_001.7
3.03,2954_001.9
3.03,2954_002.0
3.03,2958_001.6
3.03,2965_001.6
3.03,2966_001.5
3.03,2969_001.1
3.03,2986_001.0
3.03,3015_001.9
3.03,3040_003.3
3.03,MAG_6247
3.04,0015_265.6
3.04,0089_335.0
3.04,0114_001.6
3.04,0189_002.1
3.04,2975_000.4
3.04,3020_000.6
3.04,3024_000.7
3.04,3032_000.5
3.04,3042_001.0
3.04,UTA_9576
3.05,0006_173.7
3.05,0015_255.9
3.05,0051_000.0
3.05,0089_324.7
3.05,0156_001.0
3.05,2831_004.4
3.05,2832_000.8
3.05,3037_000.0
3.05,3067_001.0
3.05,MAG_6306
3.05,UTA_9584
