TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805267, 100.00, 100.00,         0, 100.00, 100.00,   3845068, 100.00, 100.00,   1750026, 100.00, 100.00,    250658, 100.00, 100.00,   6651019, 100.00, 100.00,
    2) Non-Motorized,     32268,   4.01,   4.01,         0,      0,      0,    305188,   7.94,   7.94,    141765,   8.10,   8.10,     41973,  16.74,  16.74,    521194,   7.84,   7.84,
    2) Motorized,    772999,  95.99,  95.99,         0,      0,      0,   3539880,  92.06,  92.06,   1608261,  91.90,  91.90,    208686,  83.26,  83.26,   6129825,  92.16,  92.16
        3) Auto,    758499,  94.19,  98.12,         0,      0,      0,   3518371,  91.50,  99.39,   1603553,  91.63,  99.71,-,-,-,   6089108,  91.55,  99.34,
            4) Auto 1 pers,    630993,  78.36,  83.19,         0,      0,      0,   1264125,  32.88,  35.93,    697382,  39.85,  43.49,-,-,-,   2592499,  38.98,  42.58,
                    GP use,    630184,  78.26,  99.87,         0,      0,      0,   1264105,  32.88, 100.00,    696445,  39.80,  99.87,-,-,-,   2590734,  38.95,  99.93,
                    Toll use,       856,   0.11,   0.14,         0,      0,      0,       485,   0.01,   0.04,      1124,   0.06,   0.16,-,-,-,      2465,   0.04,   0.10
            4) Auto 2 pers,     98245,  12.20,  12.95,         0,      0,      0,   1225564,  31.87,  34.83,    451383,  25.79,  28.15,-,-,-,   1775192,  26.69,  29.15,
                    GP use,     77406,   9.61,  78.79,         0,      0,      0,   1151531,  29.95,  93.96,    407518,  23.29,  90.28,-,-,-,   1636456,  24.60,  92.18,
                    HOV use,     20841,   2.59,  21.21,         0,      0,      0,     74092,   1.93,   6.05,     43892,   2.51,   9.72,-,-,-,    138825,   2.09,   7.82,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29207,   3.63,   3.85,         0,      0,      0,   1028147,  26.74,  29.22,    454602,  25.98,  28.35,-,-,-,   1511956,  22.73,  24.83,
                    GP use,     23007,   2.86,  78.77,         0,      0,      0,    966001,  25.12,  93.96,    410409,  23.45,  90.28,-,-,-,   1399417,  21.04,  92.56,
                    HOV use,      6198,   0.77,  21.22,         0,      0,      0,     62155,   1.62,   6.05,     44203,   2.53,   9.72,-,-,-,    112556,   1.69,   7.44,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
