Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        5359.73,        1469.42,       19191.05,        3219.82,        1149.95,       10129.37,       14602.30,              0,              0,              0,              0,           0.25,              0,              0,              0,       70063.82,        1016.56,        2058.41,         516.42,         282.79,        1132.04,          89.93,         978.10,        2320.26,          74.92,          45.45,         210.47,         183.49,          33.79,        1014.68,          40.09,          40.48,         178.45
         3,       14508.57,       12283.49,      182690.23,       31429.14,       10987.45,       28703.84,       55253.68,              0,              0,              0,              0,              0,              0,              0,              0,       99504.60,        1784.41,        4236.16,         833.37,         395.94,        2263.85,         187.85,        3408.65,        5377.78,         226.73,         100.50,         527.53,         497.26,         218.95,        2060.51,         162.99,         154.78,         587.35
         4,       20785.57,       22403.94,      175093.71,       20889.60,        8852.55,       25297.23,       83815.72,           0.03,              0,              0,              0,           5.16,              0,              0,              0,       66721.62,        2592.33,        5879.70,        1183.06,         613.40,        2740.93,         326.18,        3814.66,        4224.70,         164.96,          36.03,         360.41,         312.21,         199.43,         822.04,          60.78,          55.21,         239.14
         5,       30131.95,       41606.57,      308891.87,       52841.14,       24809.44,       28536.44,       90303.19,           0.56,              0,           0.30,           0.03,          20.70,              0,           0.35,           0.16,       42580.45,        2344.11,        5877.73,        1048.33,         494.52,        2663.48,         164.06,        2984.81,        4365.68,         132.63,          45.67,         347.40,         158.17,         176.99,         702.16,          41.85,          39.12,         191.50
         6,       34982.22,       51034.39,      294743.10,       50181.95,       27464.80,       30159.09,       95770.28,           1.81,              0,              0,           0.04,          38.11,              0,           0.22,           0.21,       10952.05,        2528.61,        6373.62,        1148.56,         539.03,        2736.33,          76.83,        2179.56,        6105.75,         125.81,          70.35,         509.87,         115.05,         252.91,        1079.92,          59.85,          51.10,         275.69
         7,       46359.01,       67899.67,      320061.82,       38667.25,       24088.50,       42205.55,      129813.15,           0.16,              0,           2.08,           0.43,          35.26,              0,           1.38,           0.60,        9873.10,        3413.11,        8829.50,        1555.44,         807.52,        3569.32,         107.10,        2858.16,        6338.35,         152.67,          70.89,         532.88,         126.74,         193.82,        1166.64,          72.01,          50.71,         228.62
         8,       47174.10,       69868.23,      307656.02,       21801.64,       23948.57,       41293.23,      117575.78,          10.04,              0,              0,              0,         103.51,              0,           0.37,              0,        7247.39,        3349.76,        8539.81,        1490.44,         733.49,        3393.88,         147.13,        3487.53,        5626.59,         188.72,          64.23,         463.70,         154.19,         101.31,         999.10,          72.99,          46.22,         190.99
         9,       45738.81,       68961.89,      292592.81,       17841.84,       25711.57,       35367.36,      102417.03,          53.31,              0,           4.59,           2.44,         309.17,              0,           4.38,           3.10,        6449.26,        2922.56,        7714.26,        1393.48,         658.07,        3121.07,         162.32,        3762.38,        5439.85,         217.29,          59.26,         449.83,         167.07,         111.02,         885.63,          75.27,          48.42,         190.41
        10,       45112.58,       63859.65,      268470.10,       13769.29,       29527.07,       33282.05,       93439.88,         423.66,              0,          10.28,           2.09,         288.72,              0,          20.80,           3.59,        6382.67,        2710.13,        7361.59,        1338.95,         589.56,        2964.30,         171.01,        3718.99,        4888.70,         217.14,          51.75,         394.72,         205.50,         126.17,         901.77,          91.82,          60.52,         223.10
        11,       47139.28,       62362.48,      244013.54,       16545.94,       31200.11,       37353.17,       94706.05,         188.39,              0,          12.38,           1.62,         332.61,              0,          21.91,           3.76,        6153.11,        3088.95,        8075.01,        1458.96,         686.15,        3138.09,         177.22,        4115.57,        4557.17,         205.91,          49.41,         353.57,         166.95,          98.68,         847.75,          67.71,          44.85,         171.00
        12,       47696.32,       56765.92,      220257.38,       15399.83,       28671.54,       35483.05,       85520.29,         496.84,              0,          61.74,           3.89,         502.11,              0,          63.54,           5.46,        5513.01,        2672.45,        7538.08,        1343.49,         618.12,        2862.80,         126.91,        3478.53,        4217.54,         185.95,          47.47,         322.85,         187.90,          88.99,         723.63,          67.52,          45.18,         166.13
        13,       44762.96,       48198.44,      196765.23,       14177.68,       19359.47,       26468.43,       65617.90,         958.73,              0,          23.19,           1.37,         549.12,              0,          41.90,           3.25,        4883.23,        2536.10,        6691.41,        1280.48,         549.35,        2651.38,         128.21,        3830.39,        4330.25,         213.54,          49.15,         343.16,         210.08,          95.53,         843.73,          70.41,          46.69,         178.02
        14,       42098.32,       41339.13,      178106.66,       10584.11,       12874.32,       21711.54,       54512.95,         884.07,              0,         153.18,          11.58,         384.23,              0,         175.77,          12.97,        4736.78,        2391.19,        6161.86,        1239.55,         491.55,        2474.41,         122.38,        3630.22,        4207.57,         207.54,          49.01,         325.80,         217.13,          93.44,         794.88,          70.56,          47.27,         171.99
        15,       45429.16,       36567.11,      157755.43,        6658.82,       10748.02,       32967.26,       67475.34,        1221.69,              0,          55.93,           5.06,        1075.87,              0,          67.15,          10.80,        4149.95,        2171.98,        6022.37,        1134.08,         481.55,        2311.03,         113.29,        3484.91,        3666.66,         211.11,          47.78,         288.97,         179.35,          75.00,         693.61,          52.85,          35.86,         145.75
