Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       94258.80,      127091.70,      826750.32,      115703.29,       50366.81,      158938.07,      419430.70,              0,              0,              0,              0,           0.25,              0,              0,              0,      264241.93,        9980.04,       23147.01,        4623.07,        2680.91,       10799.93,        1043.04,       17336.49,       23924.04,         917.04,         322.28,        2122.17,        1354.77,         813.25,        6305.77,         364.90,         330.76,        1462.33
         1,      150956.03,      232533.64,     1116672.72,      117661.16,       92810.41,      135880.60,      376580.79,           1.40,              0,           0.30,           0.07,          42.65,              0,           0.56,           0.37,       46675.22,        9941.81,       25090.63,        4343.21,        2038.42,       10224.96,         531.69,       13798.77,       19737.28,         710.54,         203.97,        1552.83,         620.92,         550.67,        3398.34,         271.54,         189.90,         789.50
         2,      138394.36,      178640.48,      761380.61,       48110.12,       84878.27,      100240.55,      251458.96,          14.41,              0,           5.09,           2.57,         167.30,              0,           5.05,           3.36,       16615.97,        7680.93,       20474.36,        3622.40,        1627.14,        8089.30,         414.08,       11971.21,       14525.49,         684.68,         167.85,        1139.14,         636.28,         344.17,        2789.48,         246.91,         165.18,         615.74
         3,      123345.83,      116675.38,      517564.44,       30539.75,       48890.69,       70159.29,      162330.86,         665.32,              0,          29.79,           2.84,         626.52,              0,          55.76,           5.80,       12156.90,        6113.74,       16695.62,        3150.50,        1288.96,        6563.97,         348.25,       10662.86,       11043.41,         628.98,         138.98,         867.86,         631.03,         257.47,        2151.18,         197.00,         132.23,         492.87
         4,      111223.42,       73469.66,      348925.32,       11315.53,       26475.73,       55076.03,      113244.06,        1397.77,              0,         124.14,          11.84,        1205.99,              0,         158.98,          15.70,        9344.95,        4630.21,       12843.10,        2584.09,         983.19,        5084.11,         268.72,        9099.97,        8506.57,         542.29,         110.16,         674.17,         552.27,         193.50,        1608.03,         143.58,          97.56,         369.60
         5,      101837.28,       45715.53,      248881.28,        6133.34,       16672.54,       42718.25,       80719.87,        1678.98,              0,         203.03,          13.80,        2286.00,              0,         222.38,          22.31,        6980.30,        3482.27,        9863.40,        2038.11,         741.98,        3896.59,         199.10,        7631.12,        6289.38,         451.67,          75.71,         480.39,         457.25,         144.30,        1142.20,          98.96,          66.00,         256.16
         6,       94334.40,       28354.23,      183193.62,        3804.58,        9143.11,       32812.16,       57718.14,        2006.33,              0,         109.68,          23.80,        2737.53,              0,         119.37,          27.56,        5188.40,        2634.73,        7571.61,        1604.99,         561.57,        3010.77,         158.41,        6178.51,        4564.42,         359.49,          48.99,         330.76,         344.49,          90.89,         733.56,          56.10,          37.14,         159.37
         7,       84859.28,       19535.78,      140019.33,        2627.45,        5846.98,       27432.11,       44835.71,        3055.16,              0,         167.14,          30.98,        7306.05,              0,         214.37,          46.25,        4028.22,        2133.33,        6184.67,        1352.37,         470.54,        2473.31,         148.63,        5480.83,        3678.59,         320.85,          41.15,         264.21,         324.11,          81.51,         589.66,          51.66,          34.59,         138.92
         8,       75886.92,       13472.98,      108694.78,        1905.72,        3761.07,       23030.39,       36118.28,        2138.82,              0,         208.61,          44.30,        9804.97,              0,         283.49,          65.53,        3064.41,        1729.11,        5159.65,        1172.86,         402.66,        2061.24,         123.03,        4633.95,        2953.87,         265.96,          29.76,         213.84,         260.25,          57.29,         388.88,          35.88,          23.19,          88.29
         9,       68053.83,        9740.55,       90780.50,        1379.16,        2454.40,       20317.70,       29461.76,        1729.32,              0,         183.87,          67.17,        8098.74,              0,         226.38,          87.82,        2337.91,        1442.33,        4411.10,        1018.19,         356.89,        1770.32,         122.76,        4102.16,        2496.63,         242.34,          23.16,         176.79,         200.66,          47.15,         306.92,          29.44,          19.27,          68.39
