TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,215.3,151.9,126.4,57.5,7.1,10.5,20.5,0.1,13.2,0.0,73.5,49.3,5.3,0.0,5.4,0.0,2.0,2.1,6.4,6.1,0.0,0.0,0.0,0.0,7.1,0.0,0.0,10.5
3,30003,3,1,1,283.4,166.4,204.3,84.6,13.8,17.6,30.8,0.1,21.4,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.4,3.3,10.6,9.9,0.0,0.0,0.0,0.0,13.8,0.0,0.0,17.6
4,30004,3,1,1,67.6,63.4,6.8,3.2,0.8,0.7,1.1,0.0,0.8,0.0,4.1,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.7
5,30005,3,1,1,750.3,394.7,616.1,252.4,33.0,51.0,95.9,4.8,61.6,0.0,350.4,208.8,31.1,0.0,31.6,0.0,11.7,10.8,29.8,28.0,4.0,0.0,0.0,0.0,33.0,0.0,0.0,51.0
6,30006,3,1,1,99.1,104.6,25.7,28.3,1.9,6.3,3.4,8.5,2.6,0.0,14.9,17.4,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,1.9,0.0,0.0,6.3
7,30007,3,1,1,499.2,402.5,351.3,235.6,23.8,49.7,50.6,35.8,35.1,8.4,196.5,156.1,15.6,0.0,15.8,0.0,12.7,12.2,25.1,23.2,0.0,0.0,0.0,0.0,23.8,0.0,0.0,49.7
8,30008,3,1,2,750.8,566.5,593.9,378.1,48.0,89.3,74.0,40.9,47.9,70.1,274.9,173.4,24.6,0.0,25.1,0.0,21.3,20.0,77.2,73.7,48.0,0.0,1.0,0.0,48.0,0.0,0.0,89.3
9,30009,3,1,1,414.0,563.2,142.4,272.3,28.5,53.3,19.1,98.6,13.1,0.0,74.4,150.8,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,28.5,0.0,0.0,53.3
10,30010,3,1,1,499.0,614.0,204.4,308.9,39.4,60.9,27.8,102.7,19.5,0.0,110.0,178.5,8.4,0.0,8.6,0.0,18.6,17.6,10.5,10.2,0.0,0.0,1.0,0.0,39.4,0.0,0.0,60.9
11,30011,3,1,1,197.0,129.3,70.5,28.5,15.6,5.5,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.9,2.8,2.8,0.0,0.0,0.0,0.0,15.6,0.0,0.0,5.5
12,30012,3,1,1,293.2,192.5,160.0,68.6,20.0,15.2,27.0,0.2,16.1,0.0,91.5,58.8,7.9,0.0,8.0,0.0,2.3,2.3,7.3,7.2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.2
13,30013,3,1,2,109.3,109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.4,110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,576.3,1243.8,65.3,617.8,1.6,134.7,1.3,367.4,1.0,0.0,5.2,196.8,0.4,0.0,0.5,0.0,55.3,51.8,1.6,1.7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,134.7
