O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,596,5167,584,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,754,11743,931,13641
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,872,15147,1027,14698
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,870,19849,895,20058
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,1906,32788,1919,32889
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1156,26432,1236,26130
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1005,12478,970,12512
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,568,6996,553,8326
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,905,9465,909,9558
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,468,5412,487,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,474,7414,575,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1218,31027,1372,31481
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2112,45428,2086,45114
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,714,10889,755,12136
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1305,29618,1440,31558
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1002,14426,949,20072
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1168,15521,1154,15485
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1722,40445,1714,39971
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1484,40661,1596,42519
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1549,35060,1559,35170
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,685,11877,648,11873
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1720,37936,1630,37818
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,735,15375,812,15625
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1276,26286,1304,26928
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,1985,46558,1897,46743
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,667,10840,668,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1458,28888,1438,28948
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,679,9299,640,9296
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1721,43650,1701,43908
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2770,69708,2648,69820
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,775,10568,786,10789
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2066,56917,2101,58884
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,945,15285,954,14656
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1255,18266,1223,18488
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1556,32348,1533,32195
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1807,47974,1750,47782
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1516,37119,1463,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2081,46681,2081,49155
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,835,10756,755,10702
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,519,6516,518,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,803,10722,875,11058
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,1995,45306,1957,45263
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,2996,72800,3024,72582
