O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,768,11743,946,13641
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,669,6440,646,6399
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,893,19849,893,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,771,7266,775,7488
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,689,9439,694,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,1879,37464,1873,37181
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1586,32376,1593,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,1911,32789,1877,32889
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1527,33864,1539,32268
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,471,5412,477,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,458,7414,568,6449
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2099,45428,2077,42277
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,668,10889,776,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1012,18583,1034,19313
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1316,29618,1442,31797
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1155,15529,1154,15485
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1713,36702,1774,36856
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1586,37531,1528,35170
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,647,11877,631,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,637,7500,612,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1714,40407,1658,40172
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1517,39733,1466,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1715,31449,1681,31319
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1272,26286,1299,26930
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,552,5838,564,5984
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,677,10838,680,11357
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1462,28890,1447,28948
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1201,21750,1163,19334
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1694,43650,1712,43908
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2710,70842,2675,69820
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,622,9586,611,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,776,10637,776,10789
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,568,6446,501,6388
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1187,18359,1202,18807
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1089,14847,1069,14922
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1623,32596,1533,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,2979,75746,2790,72940
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,656,7787,643,8050
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2120,49153,2061,49155
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2274,59720,2223,59679
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,853,10757,832,10702
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,806,10722,880,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1606,39305,1633,39021
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,1975,45306,1978,45263
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1667,41841,1741,41818
