O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,703,5167,790,5154
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2886,44027,2270,47015
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,1305,15137,1211,14698
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,820,6440,1138,6399
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,749,9161,740,9402
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,2110,31481,2574,38721
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2259,32788,3071,34932
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1870,33813,3368,32602
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1319,26434,1634,22273
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1273,14043,1163,19044
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,688,6642,721,8414
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1392,14414,995,14711
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1225,10649,1148,9545
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,689,5412,621,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,520,7414,677,6449
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2638,40973,3328,45366
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1342,17025,1700,17085
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1442,18585,1319,19316
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1506,14080,1491,14386
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1304,15521,1423,16141
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,2303,37870,2043,37971
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1964,40052,2372,39971
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1718,35060,2344,35170
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,2154,23694,1775,27561
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,865,11877,923,11873
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1855,37936,2427,37818
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1946,31441,2646,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,1066,15374,1061,15688
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2110,46460,2897,46708
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,1125,14696,1041,11358
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,2087,35020,2132,34861
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,2004,43650,2296,43908
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,990,10568,1191,10789
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,838,7269,611,6390
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2230,59633,3173,58519
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1257,15285,1094,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1599,18347,1777,18771
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1537,18266,1739,18488
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1230,14851,1238,14886
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1921,32526,1944,32195
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1819,37119,2041,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2367,46681,3081,46801
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2873,59721,3250,59680
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1147,10765,993,10702
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,537,6516,613,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,988,10722,1055,11058
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,3645,40823,2294,41817
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,5619,72797,4111,72795
