O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,796,5167,718,5154
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2189,46477,2269,47381
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2149,38507,2114,37514
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2393,31997,2227,32895
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1632,21772,1358,26132
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,682,6996,607,8413
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1150,11788,1027,9545
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,567,5412,565,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,534,7414,668,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1271,30791,1811,31497
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1372,17026,1174,18484
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,772,10889,1009,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1121,18579,1106,19320
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1421,29378,1604,31798
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1834,37870,1957,36186
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1698,40661,1598,42518
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1890,35060,1674,37857
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1479,23693,1490,23652
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,780,13715,683,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,757,7957,691,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1852,39635,1729,40506
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,2074,31441,1936,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,768,15374,1080,15625
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1658,28887,1653,28947
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,738,9299,733,9296
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2969,69708,2782,72508
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,709,8230,697,8230
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,970,10637,868,10788
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,592,6448,572,6390
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1593,18256,1384,18486
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1208,14851,1197,14886
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1721,32417,1623,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3075,73096,2921,75628
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1709,37119,1515,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2386,46681,2236,49489
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2597,59721,2554,59680
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,557,6516,541,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,1002,10583,987,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1662,39303,1699,39025
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2102,45294,2086,45227
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3408,72795,3514,72582
