O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,748,11743,1013,13641
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,792,6440,749,6399
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,874,19849,922,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,882,7266,857,7488
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,734,9439,724,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2312,38559,1981,37181
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1983,32376,1726,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2493,32789,2170,32889
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1871,33864,1635,32268
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,538,5412,547,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,493,7414,635,6449
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2644,45430,2186,45114
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,752,10889,930,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1111,18583,1160,19313
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1386,29618,1587,29677
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1277,15529,1235,15485
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1810,36702,2019,36856
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1777,37531,1619,37524
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,812,11877,683,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,721,7500,705,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1944,40407,1671,40172
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1635,39733,1595,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1936,31449,1848,31319
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1325,26282,1376,26931
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,713,5838,664,5984
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,758,10838,746,11357
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1554,28891,1645,28944
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1339,21750,1374,19334
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1889,43650,1768,43908
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2927,70086,2747,72207
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,660,9586,668,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,976,10637,883,10789
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,606,6446,553,6388
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1400,18359,1398,18807
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1209,14847,1212,14922
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1766,32596,1618,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3162,73669,2899,75294
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,807,7787,679,8050
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2365,47059,2155,49155
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2637,59720,2439,59679
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1046,10757,990,10702
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,958,10722,993,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1678,39305,1672,39021
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2088,45306,2087,45263
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1667,41841,2129,41835
