O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,1010,11744,1065,13641
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,1478,15148,1216,14698
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1171,19849,1062,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,1086,7519,1043,7339
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2305,38506,3363,34906
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,2109,31551,2639,40786
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1813,34262,3080,31396
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,758,6647,744,8476
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1565,14400,1129,14850
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1176,12960,1191,9558
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,689,5412,673,5394
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,2292,30791,1703,31497
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2592,40975,3842,41401
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1311,17027,1794,16737
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,904,10889,1222,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1508,18582,1464,19320
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,2321,31496,1604,31559
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1444,19940,1538,14385
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1310,15519,1421,16105
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1680,35060,2091,37524
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1567,23694,1626,23652
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,798,11877,872,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,790,7948,676,7533
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,968,15374,976,15626
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2021,46558,2586,49063
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,1110,10838,1026,11357
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1886,28886,1794,28948
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,810,9299,824,9290
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1535,23368,1636,19335
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1821,43650,2100,43875
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2797,69708,3301,72174
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,687,9586,688,9606
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,1011,10636,1217,10798
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2169,59633,2791,58910
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1577,18347,1642,18771
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1523,18334,1569,18490
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1225,14851,1292,14886
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1814,32594,1829,32282
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3057,73275,3452,75295
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1636,37119,1860,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2325,46681,2801,49156
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2841,59721,3135,59680
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1044,10103,1055,10468
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,1016,10722,1120,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1760,39303,1814,39025
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2274,45294,2233,45227
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,3493,41679,2179,41817
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,5295,72796,3932,72581
