O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,685,5167,690,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,760,11743,1043,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2108,43640,2277,47002
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,895,15149,1147,14701
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,860,6492,756,6451
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,897,19845,971,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,926,7318,862,7322
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2174,38559,2091,37181
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2235,32797,2073,32890
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,2024,31235,1616,32268
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1596,21772,1362,26130
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1102,12478,1121,12667
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,668,6996,608,8468
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,886,14883,1076,14856
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1013,9464,1023,9545
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,498,7414,649,6449
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1161,18974,1148,19405
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1197,14425,1087,17450
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1320,15521,1156,18715
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1815,37870,2031,37976
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1863,40446,1884,39971
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1822,35059,1583,37523
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,821,11877,703,11874
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,695,7504,646,7535
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1886,37935,1671,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1624,39733,1596,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1967,31440,1821,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,791,15375,1016,15693
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,836,5770,663,6018
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,897,10818,760,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1682,28888,1705,28942
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,704,9298,688,9296
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1357,21760,1409,22017
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1850,43650,1821,43909
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2884,69707,2768,72207
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,709,8230,702,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,943,10566,863,10791
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,579,6446,555,6388
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2112,56916,2171,58884
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1476,18264,1335,18489
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1749,32524,1630,32196
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1641,37119,1584,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2275,46681,2149,49154
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2499,59720,2459,59678
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1026,10754,885,10697
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,531,6516,536,6549
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,974,12527,1009,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1705,39533,1654,39017
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2083,45306,2080,45260
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1722,41684,2421,41818
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3160,72800,3660,72582
