O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,563,5167,540,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,761,11744,996,13642
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2096,46486,1967,47015
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,895,15148,927,14698
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,614,6440,650,6399
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,721,7519,692,7352
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,646,9438,642,9445
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,1860,37405,1895,37514
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1599,32317,1629,32637
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1519,33813,1532,32601
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,534,6996,549,8414
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,727,14883,758,14852
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,865,10649,930,9545
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,493,7414,568,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1250,31029,1333,26828
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2050,45374,2139,45447
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,685,10889,894,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,994,18585,1024,19316
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1291,29618,1377,31558
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1100,16554,1084,16361
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1678,37870,1674,37971
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1429,40661,1597,42518
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1308,23693,1290,23652
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,652,11877,641,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,679,7500,642,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1583,37936,1684,37818
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,722,15374,812,15688
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1262,26263,1263,26930
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,1849,46558,1941,48564
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,648,10840,687,11358
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1375,28887,1431,28947
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,625,9299,669,9290
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2583,69708,2709,69820
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,614,9586,626,9606
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,763,10637,802,10788
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,489,6447,488,6390
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,960,15285,932,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1165,18347,1204,18771
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1213,18335,1245,18486
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1057,14851,1026,14886
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1552,32596,1564,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,2749,73275,2823,72940
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,629,7788,632,7812
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1756,47973,1803,47782
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,1951,46681,2110,46801
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2170,59721,2311,59680
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,894,10756,785,10702
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,757,10722,849,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1596,39303,1602,39025
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1685,41680,1697,41817
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3051,72795,2879,72637
