O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,679,5167,659,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,758,11743,1034,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2124,43641,2216,43755
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,886,15149,1163,14701
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,814,6440,722,6399
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,961,19847,944,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,875,7266,861,7488
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,748,9439,708,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2046,35889,1949,37181
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1115,12478,1015,19184
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,692,6996,623,8555
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,897,14883,1004,14856
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,554,5412,544,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,496,7414,631,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1239,31028,1643,31503
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1155,16793,1143,16736
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,740,10889,913,12136
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1122,14426,1052,17450
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1249,15521,1235,15485
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1772,40446,1824,39971
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1712,35059,1643,37523
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,742,7588,659,7534
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1790,37935,1724,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1566,39734,1633,39529
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,801,15375,916,15693
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1417,26283,1492,26932
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,626,5770,642,6018
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2023,46561,2041,49094
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,715,10839,759,11394
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,709,9299,688,9296
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2808,69707,2766,72207
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,669,9586,657,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,893,10566,828,10791
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,589,6446,538,6388
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1083,14666,1032,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1348,18359,1385,18804
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1252,14844,1188,14920
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1708,32524,1588,32196
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,662,7787,678,8050
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1837,47972,1810,47781
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1576,37119,1536,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2238,46681,2208,49154
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2452,59720,2487,59678
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,976,10755,1002,10988
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,528,6516,543,6516
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1690,41684,2039,41818
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3086,72800,3202,72582
