O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,711,5167,748,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,978,11743,1012,13641
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,870,6492,989,6451
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1219,19845,1055,20878
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,964,7318,1109,7391
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,771,9439,746,9206
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2108,38275,2378,38464
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1861,32285,2263,31395
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1364,24850,1556,22272
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1490,14884,1091,14851
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1021,9465,1134,9545
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,625,5412,599,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,608,7414,652,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1670,31026,1559,31502
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2490,40744,2699,42058
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1226,16793,1449,16737
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,919,10889,963,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1408,18973,1435,19312
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1338,17666,1380,20072
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1493,40659,1904,42518
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1560,35059,1922,37523
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1529,23714,1620,27226
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,766,11878,816,11874
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1828,39734,1881,39529
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,935,15375,911,15693
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,1956,46562,2314,49094
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,858,10840,909,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1731,35021,1775,28942
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1806,43651,1913,43910
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2781,69708,3049,72207
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,694,9586,697,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,989,10635,942,10793
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,706,6446,578,6388
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2111,56916,2529,58885
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1452,18359,1526,18804
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1427,18333,1442,18491
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1736,32594,1619,32376
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,756,8034,786,8050
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2190,46682,2533,49154
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2582,59722,2850,59678
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,999,10754,868,10697
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,961,10722,1088,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1786,39302,1713,39988
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2153,45318,2184,46231
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,4422,71939,3517,72029
