O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,810,5167,771,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,919,11744,1025,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2617,43641,2188,47015
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,943,6440,946,6399
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1245,19849,1014,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,1052,7519,1033,7339
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,2037,31551,2508,38721
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1350,26432,1680,22273
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1415,12620,1167,19026
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,734,6648,725,8333
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1421,14230,1013,14707
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1184,11788,1148,9558
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,531,7414,664,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,2125,30791,1695,31497
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2620,42319,3284,41401
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1334,17026,1570,16737
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,2285,31527,1639,31559
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1417,19940,1447,20074
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1324,15521,1416,15485
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,2279,37870,1994,35848
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,2077,40051,2183,39688
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,827,11877,872,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,821,7948,692,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1828,37936,2146,40173
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,2034,31441,2311,31319
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2022,46558,2542,49098
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,1051,10838,1130,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,2013,28887,1816,28948
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,827,9292,799,9290
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1721,23368,1544,21131
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1946,43650,2008,43875
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2930,69708,3289,72174
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,1076,10637,1071,10716
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,786,6448,743,6390
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2226,56917,2612,58810
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1115,14666,1110,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1564,18347,1697,18771
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1574,18335,1604,18414
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1929,32417,1714,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3142,73096,3416,75295
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,2031,47973,2182,47782
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1761,37119,1730,37029
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,529,6516,631,6516
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1769,39303,1746,39025
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,5942,72795,3908,72582
