O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,725,5167,700,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,799,11743,981,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2311,46484,2216,43756
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,929,15149,1125,14701
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,869,6492,894,6451
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1146,19845,943,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,991,7318,962,7319
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,755,9161,718,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2112,38559,2376,36954
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1272,26430,1563,22272
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1189,14043,1081,19184
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,511,7414,655,6449
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2479,45430,2717,42057
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1273,17077,1252,16736
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,981,10889,1016,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1422,18974,1221,19405
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1277,19937,1250,14385
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1230,15521,1296,15485
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1846,40053,1936,39971
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1543,23714,1716,23654
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,772,11878,827,11874
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,757,7504,696,7535
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1711,37936,1804,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1677,39733,1641,39529
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,906,15375,895,15694
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1439,26283,1665,26932
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2017,46562,2270,49094
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1767,35021,1798,28942
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,841,9298,815,9296
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1648,21760,1609,19335
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2791,69708,3115,72207
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,697,9586,704,8230
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,989,10566,1141,10709
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1191,15577,1170,14656
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1460,18264,1647,18489
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1822,32524,1924,32196
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,2991,73275,3244,75294
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1891,47973,2081,47781
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1630,37120,1890,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2306,46682,2438,49154
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1090,10031,1128,10697
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,985,10722,1092,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1854,39533,1795,39017
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2239,45306,2180,45260
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,2403,41684,1888,41818
