O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,776,11743,1013,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2169,46475,2255,47004
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,896,15150,1123,14701
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,883,6492,787,6451
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,902,19845,961,20056
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,920,7312,879,7322
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,728,9439,748,9445
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2080,38275,2011,37181
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1979,32376,1689,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2229,32797,2101,32891
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1834,33864,1577,32267
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1114,12478,1131,12524
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,661,6996,598,8414
1218,"40.6934674976,-111.874152094" ,1234,"40.6589866456,-111.892400751" ,548,5412,561,5394
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,509,7414,649,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1229,31027,1601,31502
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2325,42364,2200,41940
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,730,10889,947,12136
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1415,29617,1537,31558
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1112,19938,1077,17483
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1307,16659,1239,15485
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1778,37869,1845,36192
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1945,40446,1855,39973
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1614,40659,1567,42516
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1520,23714,1454,23654
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1845,37936,1648,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1706,39734,1576,39562
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2168,46562,1968,49094
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,795,10840,752,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1636,28888,1597,34863
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1287,21760,1305,22018
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1841,43651,1759,43876
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,932,10635,832,10793
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,583,6446,531,6388
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1161,14856,1178,14931
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1703,32415,1573,32197
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3065,73096,2850,75294
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,675,8034,673,8050
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1823,47973,1789,47781
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1582,37119,1519,37030
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2283,46682,2164,49154
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,946,10754,852,10697
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,534,6516,528,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,927,10722,969,11509
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1674,39302,1612,39017
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2092,45303,2032,45260
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1705,41681,2034,42262
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3258,72801,3263,72582
