O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,863,11743,1382,13641
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,1141,15147,1567,15127
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1333,17519,1646,24430
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,963,7421,1008,7488
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,733,9161,718,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2683,38332,2440,36657
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,3371,34032,1945,31744
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1441,26432,1559,26130
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1222,14043,1357,12492
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,756,6996,685,8383
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1099,14883,1168,14711
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1287,10202,1168,9545
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,527,7414,636,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1525,31027,1759,31481
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,3095,40257,2730,44590
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1835,17099,1419,16509
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,1214,12223,1367,12136
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1421,18584,1423,19104
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1450,14426,1377,14386
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1831,41745,2616,47904
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1687,35060,1899,37857
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1564,23716,1516,23649
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,815,13715,799,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,745,7509,682,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1843,37936,1983,39559
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,2293,49026,2893,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1979,31441,2071,31319
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,649,5769,650,5984
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2119,46558,2312,46708
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,964,10840,936,11358
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,759,9299,750,9296
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1380,21750,1571,19334
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1987,43650,2084,43908
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2921,69708,3167,69820
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,677,9586,687,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,994,10568,1048,10710
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,716,6447,599,6390
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2858,58002,3371,64269
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1146,15285,1086,14656
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1511,18266,1545,18409
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1177,14847,1222,14922
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1803,32348,1853,32195
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3165,73096,3415,75628
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,2068,47974,2147,47782
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,3517,60742,3475,60563
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1033,10033,914,10702
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,535,6516,567,6516
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1741,39303,1750,39025
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,2167,41841,3652,41252
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,4380,72800,5030,72014
