O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,888,6440,919,6399
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,1074,19849,959,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,989,7519,976,7339
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2205,38507,2368,36271
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1956,32317,2093,31475
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2107,31997,2816,32895
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1223,26432,1521,26132
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1170,14043,1085,17970
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,728,6996,703,8413
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,1074,15263,872,14852
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1148,11788,1104,9545
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1434,30791,1472,31497
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2562,45374,2652,45110
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1293,17026,1427,16737
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,994,10889,1104,12136
852,"40.7002349733,-111.996183844" ,1600,"40.5087626519,-111.899714647" ,1690,29378,1554,31558
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1187,19941,1286,14385
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1330,15521,1368,15485
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1968,40445,1979,39971
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1550,40661,1662,42518
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1633,35060,1802,37524
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,838,11877,770,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,809,7957,771,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1824,37936,1911,40173
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1977,31441,2109,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,867,15374,925,15688
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1404,26263,1663,26930
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,680,5838,865,6019
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,1057,10819,970,10866
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,842,9299,805,9296
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2844,69708,3076,72174
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,933,10637,1248,10710
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,721,6447,634,6390
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2086,56917,2510,60366
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1142,15333,1083,14656
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1513,18347,1574,18771
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1481,18335,1780,18409
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1323,14851,1340,14886
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,800,7788,860,7812
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1653,37119,1791,37029
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2617,59721,2703,59680
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1180,10765,1124,10702
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1765,39303,1705,39025
