O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,738,11741,907,13641
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,721,6492,701,6451
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,863,19845,896,20058
1153,"40.729610314,-111.850966055" ,972,"40.7660876563,-111.889660847" ,818,7318,766,7294
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,1958,38275,1996,37181
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1247,24850,1268,26127
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1076,12619,1030,19042
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,625,6996,569,8327
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,877,9464,925,9545
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1235,31025,1456,26832
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2406,40744,2163,45114
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1075,16793,1167,16737
852,"40.7002349733,-111.996183843" ,1647,"40.6218715135,-111.859731914" ,1114,18973,1136,19312
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1817,37869,2007,37977
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1500,40659,1632,42518
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1353,23714,1426,23654
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,736,11878,669,11874
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,750,7504,668,7535
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1705,37936,1631,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1568,39734,1522,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,1828,31440,1723,31330
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,780,15375,928,15693
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1341,26280,1398,26932
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2037,46562,1959,49094
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,721,10837,786,11393
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1557,28888,1661,28938
359,"41.2202940206,-111.942716394" ,215,"41.2636773225,-111.998400377" ,681,9298,710,9296
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1311,21760,1448,22015
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1831,43651,1751,43907
152,"41.2988910355,-112.035010723" ,972,"40.7660876563,-111.889660847" ,2873,69709,2717,72204
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,675,9586,667,9640
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,1160,10637,871,10788
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1322,18359,1369,18804
268,"41.1810342356,-112.112721728" ,480,"41.1122950258,-111.983491621" ,1566,18335,1334,18486
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1808,32592,1618,32373
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,689,8034,693,8050
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1629,37120,1505,37027
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2253,46682,2094,49154
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2471,59722,2409,59678
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1113,10754,876,10697
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,489,6515,545,6515
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1673,39302,1667,39988
969,"40.7682608222,-111.88966138" ,2098,"40.4290987165,-111.891886358" ,1666,41681,1789,41818
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3046,72800,3113,72582
