O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,793,11743,1127,15177
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,915,15149,1241,17977
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,1030,7639,962,7566
1153,"40.729610314,-111.850966054" ,669,"40.7768665731,-112.012243655" ,908,19849,1067,20576
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,725,9439,733,9564
1530,"40.5456096957,-112.013648996" ,972,"40.7660876563,-111.889660847" ,2289,37339,2030,37181
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,2133,30079,1709,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2486,32789,2204,32889
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,2172,31235,1587,32268
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1495,20189,1309,26130
925,"40.6580945156,-111.935229286" ,811,"40.7004608099,-112.027377005" ,1076,12478,1081,12492
925,"40.6580945156,-111.935229287" ,1254,"40.6370251116,-111.886162897" ,701,6642,586,8413
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1024,9465,995,9545
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,494,7414,627,6449
1324,"40.6726892565,-111.818289798" ,1600,"40.5087626519,-111.899714647" ,1239,31027,1728,31480
852,"40.7002349733,-111.996183841" ,972,"40.7660876563,-111.889660847" ,1359,16794,1155,17626
852,"40.7002349733,-111.996183842" ,742,"40.7810990702,-111.978586809" ,786,10889,946,12136
852,"40.7002349733,-111.996183845" ,1234,"40.6589866456,-111.892400751" ,1255,14426,1119,17450
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1310,18982,1237,15485
637,"40.8605977528,-111.864157056" ,468,"41.098871553,-112.031130041" ,1848,36702,2221,36589
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1772,40445,1830,39971
520,"41.0314446881,-111.953212183" ,669,"40.7768665731,-112.012243655" ,1526,40661,1599,42519
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1639,37531,1630,37524
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1433,23716,1447,23652
541,"41.0667418181,-111.953137427" ,565,"40.9845140308,-111.904247099" ,802,11877,696,11873
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,715,7500,683,7533
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1839,40407,1693,40172
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1629,39733,1603,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,2032,34407,1848,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,777,15375,1012,15687
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1381,26286,1398,26930
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,795,7635,675,5984
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2478,45559,2050,49062
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1604,28890,1572,34861
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1972,45977,1760,43908
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,1208,13267,865,10789
296,"41.1656460013,-112.036667144" ,364,"41.1916789322,-111.986637648" ,601,6446,553,6388
296,"41.1656460013,-112.036667145" ,669,"40.7768665731,-112.012243655" ,2404,62126,2148,58884
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1157,15775,1069,15160
268,"41.1810342356,-112.112721727" ,383,"41.1912699262,-111.943197091" ,1428,18863,1481,19311
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3159,77787,2922,75294
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,738,7787,674,8050
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1994,50014,1785,47782
213,"41.2581611606,-112.015602984" ,565,"40.9845140308,-111.904247099" ,1771,39446,1529,37029
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2535,46561,2208,49155
467,"41.0963910392,-112.0549464" ,1234,"40.6589866456,-111.892400751" ,2750,59452,2459,59679
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,546,6516,541,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,935,10722,984,11058
46,"41.5094275697,-112.013403371" ,327,"41.2248585899,-111.971789543" ,1655,39305,1663,39021
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2085,45306,2085,45263
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3132,72800,4156,75758
