Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       93281.95,      126665.52,      821938.99,      115536.13,       50249.60,      157679.95,      416667.03,              0,              0,              0,              0,           0.25,              0,              0,              0,      259194.17,        9676.05,       22450.77,        4481.82,        2602.86,       10473.25,         912.83,       15045.15,       21853.26,         781.98,         273.25,        1947.97,        1340.32,         805.56,        6269.26,         361.61,         328.31,        1452.06
         1,      149486.17,      231754.58,     1110653.22,      117480.04,       92556.31,      134900.67,      374349.21,           1.24,              0,           0.29,           0.07,          39.56,              0,           0.53,           0.40,       45860.35,        9702.63,       24462.49,        4234.54,        1995.46,        9969.71,         465.65,       12078.32,       18114.82,         605.73,         173.19,        1437.37,         613.48,         546.64,        3383.89,         269.46,         188.67,         784.30
         2,      136891.63,      177530.28,      756939.94,       47937.62,       84535.67,       99521.64,      249799.79,          12.83,              0,           4.78,           2.55,         158.41,              0,           4.67,           3.39,       16365.63,        7468.85,       19907.49,        3519.36,        1580.04,        7867.73,         357.58,       10453.72,       13156.48,         576.39,         135.97,        1032.41,         627.28,         341.14,        2775.89,         244.67,         164.27,         611.69
         3,      121977.32,      116478.35,      515433.57,       30583.13,       48849.09,       69815.24,      161905.83,         578.18,              0,          27.66,           2.72,         575.67,              0,          51.41,           5.38,       11984.08,        5949.85,       16262.82,        3065.58,        1259.43,        6395.99,         297.27,        9308.63,        9938.13,         528.02,         110.89,         781.97,         622.71,         255.24,        2142.18,         195.46,         131.27,         490.09
         4,      109841.48,       73391.72,      347903.59,       11397.19,       26431.55,       54794.78,      113045.90,        1330.73,              0,         116.36,          11.93,        1177.82,              0,         140.17,          16.03,        9236.12,        4526.39,       12533.16,        2519.10,         963.20,        4965.88,         228.36,        7970.97,        7665.15,         456.15,          86.50,         608.25,         542.40,         191.16,        1595.53,         142.19,          96.90,         366.91
         5,      100574.72,       45971.14,      248535.23,        6163.63,       16752.86,       42512.78,       80805.21,        1722.04,              0,         194.96,          14.05,        2260.70,              0,         223.23,          22.25,        6930.59,        3424.41,        9696.57,        2001.24,         735.77,        3837.83,         170.73,        6770.64,        5704.79,         385.45,          59.49,         435.99,         438.06,         142.27,        1148.26,          96.25,          64.13,         251.94
         6,       93365.69,       28576.30,      184130.42,        3836.94,        9262.57,       32925.53,       58275.98,        2017.47,              0,         113.04,          23.95,        2571.36,              0,         121.63,          27.52,        5185.20,        2599.88,        7482.93,        1578.44,         558.42,        2975.47,         136.14,        5509.21,        4168.61,         307.93,          39.42,         304.15,         353.74,          90.13,         731.88,          57.40,          38.39,         162.29
         7,       84434.50,       20048.86,      141217.03,        2674.57,        5931.58,       27573.04,       45215.78,        2955.04,              0,         168.28,          31.18,        6886.61,              0,         215.36,          46.09,        4054.64,        2131.71,        6173.03,        1349.40,         474.97,        2473.53,         127.91,        4923.43,        3377.61,         278.45,          32.95,         244.14,         316.13,          79.01,         588.81,          49.57,          33.52,         136.51
         8,       75759.70,       13746.27,      110084.78,        1937.25,        3852.31,       23243.78,       36809.18,        1951.26,              0,         195.76,          50.64,        8879.50,              0,         265.03,          67.93,        3104.66,        1728.59,        5155.25,        1167.41,         403.44,        2060.96,         106.81,        4164.74,        2759.70,         233.15,          25.28,         201.82,         265.43,          58.20,         403.13,          36.66,          24.05,          91.77
         9,       68022.67,       10073.19,       91982.01,        1412.76,        2549.54,       20447.71,       29943.28,        1624.52,              0,         167.83,          60.28,        7832.71,              0,         206.76,          83.91,        2392.57,        1458.92,        4450.76,        1028.61,         364.64,        1788.44,         108.35,        3756.84,        2350.15,         213.75,          19.77,         168.13,         205.36,          50.14,         326.57,          31.75,          20.58,          72.52
