TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805098, 100.00, 100.00,         0, 100.00, 100.00,   3845107, 100.00, 100.00,   1750092, 100.00, 100.00,    250646, 100.00, 100.00,   6650943, 100.00, 100.00,
    2) Non-Motorized,     34836,   4.33,   4.33,         0,      0,      0,    314560,   8.18,   8.18,    149293,   8.53,   8.53,     41912,  16.72,  16.72,    540600,   8.13,   8.13,
    2) Motorized,    770262,  95.67,  95.67,         0,      0,      0,   3530547,  91.82,  91.82,   1600799,  91.47,  91.47,    208734,  83.28,  83.28,   6110343,  91.87,  91.87
        3) Auto,    755334,  93.82,  98.06,         0,      0,      0,   3510568,  91.30,  99.43,   1596172,  91.21,  99.71,-,-,-,   6070808,  91.28,  99.35,
            4) Auto 1 pers,    627937,  78.00,  83.13,         0,      0,      0,   1259944,  32.77,  35.89,    693215,  39.61,  43.43,-,-,-,   2581096,  38.81,  42.52,
                    GP use,    627035,  77.88,  99.86,         0,      0,      0,   1259849,  32.76,  99.99,    692231,  39.55,  99.86,-,-,-,   2579115,  38.78,  99.92,
                    Toll use,       945,   0.12,   0.15,         0,      0,      0,       568,   0.01,   0.05,      1171,   0.07,   0.17,-,-,-,      2684,   0.04,   0.10
            4) Auto 2 pers,     98161,  12.19,  13.00,         0,      0,      0,   1223590,  31.82,  34.85,    449773,  25.70,  28.18,-,-,-,   1771524,  26.64,  29.18,
                    GP use,     76869,   9.55,  78.31,         0,      0,      0,   1146941,  29.83,  93.74,    404336,  23.10,  89.90,-,-,-,   1628145,  24.48,  91.91,
                    HOV use,     21296,   2.65,  21.70,         0,      0,      0,     76710,   1.99,   6.27,     45465,   2.60,  10.11,-,-,-,    143471,   2.16,   8.10,
