TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    890985, 100.00, 100.00,    112528, 100.00, 100.00,   1952164, 100.00, 100.00,    862692, 100.00, 100.00,    445428, 100.00, 100.00,   4263797, 100.00, 100.00,
    2) Non-Motorized,     29787,   3.34,   3.34,     26918,  23.92,  23.92,    162610,   8.33,   8.33,     59803,   6.93,   6.93,     74653,  16.76,  16.76,    353771,   8.30,   8.30,
    2) Motorized,    861198,  96.66,  96.66,     85610,  76.08,  76.08,   1789555,  91.67,  91.67,    802889,  93.07,  93.07,    370775,  83.24,  83.24,   3910027,  91.70,  91.70
        3) Auto,    840747,  94.36,  97.63,     67493,  59.98,  78.84,   1781053,  91.23,  99.52,    801161,  92.87,  99.78,-,-,-,   3861229,  90.56,  98.75,
            4) Auto 1 pers,    721974,  81.03,  85.87,     48531,  43.13,  71.91,    573229,  29.36,  32.18,    362375,  42.01,  45.23,-,-,-,   1706110,  40.01,  44.19,
                    GP use,    720890,  80.91,  99.85,     48473,  43.08,  99.88,    573310,  29.37, 100.01,    362192,  41.98,  99.95,-,-,-,   1704864,  39.98,  99.93,
                    Toll use,      1148,   0.13,   0.16,        58,   0.05,   0.12,       224,   0.01,   0.04,       306,   0.04,   0.08,-,-,-,      1736,   0.04,   0.10
            4) Auto 2 pers,     88760,   9.96,  10.56,     13919,  12.37,  20.62,    595514,  30.51,  33.44,    210982,  24.46,  26.33,-,-,-,    909174,  21.32,  23.55,
                    GP use,     65888,   7.39,  74.23,     10478,   9.31,  75.28,    557185,  28.54,  93.56,    188741,  21.88,  89.46,-,-,-,    822292,  19.29,  90.44,
                    HOV use,     22886,   2.57,  25.78,      3441,   3.06,  24.72,     38368,   1.97,   6.44,     22261,   2.58,  10.55,-,-,-,     86956,   2.04,   9.56,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29948,   3.36,   3.56,      5043,   4.48,   7.47,    611956,  31.35,  34.36,    227673,  26.39,  28.42,-,-,-,    874621,  20.51,  22.65,
                    GP use,     22219,   2.49,  74.19,      3797,   3.37,  75.28,    572538,  29.33,  93.56,    203654,  23.61,  89.45,-,-,-,    802208,  18.81,  91.72,
                    HOV use,      7721,   0.87,  25.78,      1247,   1.11,  24.72,     39424,   2.02,   6.44,     24019,   2.78,  10.55,-,-,-,     72410,   1.70,   8.28,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        77,   0.01,   0.01,         0,      0,      0,       359,   0.02,   0.02,       143,   0.02,   0.02,-,-,-,       579,   0.01,   0.01,
