TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,214.4,151.0,126.4,57.3,6.2,9.8,20.7,0.1,13.2,0.0,73.5,49.1,5.3,0.0,5.4,0.0,2.0,2.0,6.4,6.1,0.0,0.0,0.0,0.0,6.2,0.0,0.0,9.8
3,30003,3,1,1,281.7,165.1,204.0,84.6,12.6,16.4,30.7,0.1,21.3,0.0,119.6,71.4,9.2,0.0,9.4,0.0,3.3,3.3,10.5,9.9,0.0,0.0,0.0,0.0,12.6,0.0,0.0,16.4
4,30004,3,1,1,67.6,63.3,6.8,3.1,0.7,0.7,1.1,0.0,0.8,0.0,4.1,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7
5,30005,3,1,1,744.5,390.0,614.8,251.8,28.8,47.2,95.8,4.8,61.5,0.0,350.6,208.2,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.0,3.0,0.0,0.0,0.0,28.8,0.0,0.0,47.2
6,30006,3,1,1,98.7,104.2,25.6,28.3,1.8,5.9,3.4,8.5,2.6,0.0,14.8,17.4,1.2,0.0,1.3,0.0,1.2,1.3,1.1,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,5.9
7,30007,3,1,1,496.7,398.3,351.0,235.6,22.0,46.0,50.6,35.6,35.0,8.3,196.5,156.4,15.6,0.0,15.8,0.0,12.6,12.2,25.0,23.1,0.0,0.0,0.0,0.0,22.0,0.0,0.0,46.0
8,30008,3,1,2,747.2,558.4,593.6,377.4,45.1,82.0,74.0,40.9,47.9,70.0,274.9,173.0,24.5,0.0,25.1,0.0,21.2,19.9,77.1,73.7,48.0,0.0,1.0,0.0,45.1,0.0,0.0,82.0
9,30009,3,1,1,411.6,558.0,142.3,272.3,26.4,48.8,19.0,98.6,13.0,0.0,74.5,150.7,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,26.4,0.0,0.0,48.8
10,30010,3,1,1,492.6,608.2,204.2,308.5,33.4,55.7,27.8,102.8,19.5,0.0,110.0,178.1,8.4,0.0,8.6,0.0,18.5,17.5,10.5,10.1,0.0,0.0,1.0,0.0,33.4,0.0,0.0,55.7
