Functional Class,MD Ratio (2025/2003),HV Ratio (2025/2003)
Freeway,0.6410762313395703,0.8375387583472206
Expressway,0.6477725663070867,0.7100503846806122
Principal Arterial,0.6262370788595489,0.6328405725810866
Minor Arterial,0.6389648067616462,0.512683032899387
Collector,0.6240689117173183,0.4879156314585926
Local,,
All Stations,0.6397147688967161,0.8190318278169264
