"SITE","DATE_ONLY","HOUR","LENGTH_BIN","LENGTH_DEF","COUNT"
"-0307",09/01/2023,0,1,"L0-8",1
"-0307",09/01/2023,0,2,"L8-20",73
"-0307",09/01/2023,0,3,"L20-30",27
"-0307",09/01/2023,0,4,"L30-50",5
"-0307",09/01/2023,0,5,"L50-79",71
"-0307",09/01/2023,0,6,"L79-120",16
"-0307",09/01/2023,1,1,"L0-8",0
"-0307",09/01/2023,1,2,"L8-20",40
"-0307",09/01/2023,1,3,"L20-30",11
"-0307",09/01/2023,1,4,"L30-50",5
"-0307",09/01/2023,1,5,"L50-79",75
"-0307",09/01/2023,1,6,"L79-120",4
"-0307",09/01/2023,2,1,"L0-8",0
"-0307",09/01/2023,2,2,"L8-20",27
"-0307",09/01/2023,2,3,"L20-30",7
"-0307",09/01/2023,2,4,"L30-50",4
"-0307",09/01/2023,2,5,"L50-79",57
"-0307",09/01/2023,2,6,"L79-120",10
"-0307",09/01/2023,3,1,"L0-8",0
"-0307",09/01/2023,3,2,"L8-20",39
"-0307",09/01/2023,3,3,"L20-30",10
"-0307",09/01/2023,3,4,"L30-50",10
"-0307",09/01/2023,3,5,"L50-79",57
"-0307",09/01/2023,3,6,"L79-120",10
"-0307",09/01/2023,4,1,"L0-8",0
"-0307",09/01/2023,4,2,"L8-20",78
"-0307",09/01/2023,4,3,"L20-30",23
"-0307",09/01/2023,4,4,"L30-50",15
"-0307",09/01/2023,4,5,"L50-79",71
"-0307",09/01/2023,4,6,"L79-120",20
"-0307",09/01/2023,5,1,"L0-8",1
"-0307",09/01/2023,5,2,"L8-20",244
"-0307",09/01/2023,5,3,"L20-30",99
"-0307",09/01/2023,5,4,"L30-50",31
"-0307",09/01/2023,5,5,"L50-79",98
"-0307",09/01/2023,5,6,"L79-120",28
"-0307",09/01/2023,6,1,"L0-8",0
"-0307",09/01/2023,6,2,"L8-20",521
"-0307",09/01/2023,6,3,"L20-30",212
"-0307",09/01/2023,6,4,"L30-50",53
"-0307",09/01/2023,6,5,"L50-79",129
"-0307",09/01/2023,6,6,"L79-120",26
"-0307",09/01/2023,7,1,"L0-8",0
"-0307",09/01/2023,7,2,"L8-20",644
"-0307",09/01/2023,7,3,"L20-30",207
"-0307",09/01/2023,7,4,"L30-50",94
"-0307",09/01/2023,7,5,"L50-79",162
"-0307",09/01/2023,7,6,"L79-120",48
