"SITE","SITE_DESCRIPTION","ROUTE","RT_TYP","MILEPOST","RAMP_ID","RAMP_BMP","COUNTY","FUNCTIONAL_CLASS","LATITUDE","LONGITUDE"
"-0317","SR 210   Mouth of Little Cottonwood Canyon, SLC  MP 4.166  FC 06","0210","SR-210","004.1290","","","Salt Lake","Rural Minor Arterial",40.571662,-111.771439
"-0617","I 215   5800 S Knudsen's Corner,  SLC  MP 5.300 FC 11","0215","I-215","005.530","","","Salt Lake","Urban Principal Arterial - Interstate",40.648187,-111.808086
"-0818","I 215 1700 E, Murray MP 8.256","0215","I-215","008.256","","","Salt Lake","Rural Principal Arterial - Interstate",40.631094,-111.843873
"-0351","I 215   1050 W,  SLC  MP 12.381  FC 11","0215","I-215","012.381","","","Salt Lake","Urban Principal Arterial - Interstate",40.637943,-111.921034
"-0353","I 215   2500 S,  SLC  MP 18.732  FC 11","0215","I-215","018.732","","","Salt Lake","Urban Principal Arterial - Interstate",40.713874,-111.954092
"-0628","I 215   1100 West, East of Redwood Rd. MP 28.550  FC 11","0215","I-215","028.550","","","Davis","Urban Principal Arterial - Interstate",40.834219,-111.922903
"-0631","SR 266 4700 S 1075 W, SLC MP 1.923 FC 14","0266","SR-266","001.923","","","Salt Lake","Urban Minor Arterial",40.672918,-111.918702
"-0409","Route 2330 1200 W North Temple, SLC MP 1.690 FC 16","2330","FAR-2330","001.720","","","Salt Lake","Urban Minor Arterial",40.771384,-111.926512
"-0662","FR 2878 960 N 2300 West, Lehi MP 3.091","2878","FAR-2878","003.091","","","Utah","Urban Minor Arterial",40.399342,-111.886321
"-0644","756 Pony Express Parkway, Saratoga Springs","2881","FAR-2881","012.000","","","Utah","Urban Minor Arterial",40.362326,-111.931613
"-0657","9227 N Ranches Parkway, Eagle Mountain","2889","FAR-2889","000.777","","","Utah","Urban Minor Arterial",40.369777,-111.975897
"-0643","1860 North 1200 East, Lehi","2932","FAR-2932","001.600","","","Utah","Urban Collector",40.410319,-111.8302
