Length Bin,LT,MD,HV
L0-8,100.0,0.0,0.0
L8-20,98.82,1.18,0.0
L20-30,79.12,20.810000000000002,0.06999999999999999
L30-50,67.09,24.959999999999997,7.95
L50-79,1.71,2.29,96.0
L79-120,0.9299999999999999,0.2,98.87
