TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805272, 100.00, 100.00,         0, 100.00, 100.00,   3845087, 100.00, 100.00,   1750023, 100.00, 100.00,    250657, 100.00, 100.00,   6651039, 100.00, 100.00,
    2) Non-Motorized,     34945,   4.34,   4.34,         0,      0,      0,    316043,   8.22,   8.22,    150214,   8.58,   8.58,     41958,  16.74,  16.74,    543160,   8.17,   8.17,
    2) Motorized,    770327,  95.66,  95.66,         0,      0,      0,   3529044,  91.78,  91.78,   1599809,  91.42,  91.42,    208700,  83.26,  83.26,   6107880,  91.83,  91.83
        3) Auto,    755327,  93.80,  98.05,         0,      0,      0,   3509104,  91.26,  99.43,   1595168,  91.15,  99.71,-,-,-,   6068299,  91.24,  99.35,
            4) Auto 1 pers,    628178,  78.01,  83.17,         0,      0,      0,   1260275,  32.78,  35.91,    693473,  39.63,  43.47,-,-,-,   2581925,  38.82,  42.55,
                    GP use,    627358,  77.91,  99.87,         0,      0,      0,   1260258,  32.78, 100.00,    692517,  39.57,  99.86,-,-,-,   2580134,  38.79,  99.93,
                    Toll use,       862,   0.11,   0.14,         0,      0,      0,       489,   0.01,   0.04,      1144,   0.07,   0.16,-,-,-,      2495,   0.04,   0.10
            4) Auto 2 pers,     97970,  12.17,  12.97,         0,      0,      0,   1222613,  31.80,  34.84,    449146,  25.67,  28.16,-,-,-,   1769729,  26.61,  29.16,
                    GP use,     77121,   9.58,  78.72,         0,      0,      0,   1148854,  29.88,  93.97,    405367,  23.16,  90.25,-,-,-,   1631342,  24.53,  92.18,
                    HOV use,     20855,   2.59,  21.29,         0,      0,      0,     73820,   1.92,   6.04,     43804,   2.50,   9.75,-,-,-,    138480,   2.08,   7.82,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29125,   3.62,   3.86,         0,      0,      0,   1025672,  26.67,  29.23,    452348,  25.85,  28.36,-,-,-,   1507145,  22.66,  24.84,
                    GP use,     22924,   2.85,  78.71,         0,      0,      0,    963756,  25.06,  93.96,    408240,  23.33,  90.25,-,-,-,   1394920,  20.97,  92.55,
                    HOV use,      6203,   0.77,  21.30,         0,      0,      0,     61925,   1.61,   6.04,     44115,   2.52,   9.75,-,-,-,    112244,   1.69,   7.45,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        54,   0.01,   0.01,         0,      0,      0,       548,   0.01,   0.02,       221,   0.01,   0.01,-,-,-,       823,   0.01,   0.01,
                    IMZ D2D 1 pers,        46,   0.01,  85.19,         0,      0,      0,       468,   0.01,  85.40,       188,   0.01,  85.07,-,-,-,       702,   0.01,  85.30,
                    IMZ D2D 2 pers,         6,   0.00,  11.11,         0,      0,      0,        63,   0.00,  11.50,        26,   0.00,  11.76,-,-,-,        95,   0.00,  11.54,
                    IMZ D2D 3+ pers,         2,   0.00,   3.70,         0,      0,      0,        17,   0.00,   3.10,         7,   0.00,   3.17,-,-,-,        26,   0.00,   3.16
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    208700,  83.26,  83.26,    208700,   3.14,  83.26,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     27561,  11.00,  13.21,     27561,   0.41,  13.21,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30607,  12.21,  14.67,     30607,   0.46,  14.67,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150531,  60.05,  72.13,    150531,   2.26,  72.13,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96331,  38.43,  46.16,     96331,   1.45,  46.16,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10436,   4.16,  10.83,     10436,   0.16,  10.83,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85894,  34.27,  89.17,     85894,   1.29,  89.17,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112369,  44.83,  53.84,    112369,   1.69,  53.84,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17125,   6.83,  15.24,     17125,   0.26,  15.24,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30607,  12.21,  27.24,     30607,   0.46,  27.24,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     64637,  25.79,  57.52,     64637,   0.97,  57.52
        3) Transit,     15002,   1.86,   1.95,         0,      0,      0,     19943,   0.52,   0.57,      4641,   0.27,   0.29,-,-,-,     39586,   0.60,   0.65
            4) Local Bus (LCL),      5615,   0.70,  37.43,         0,      0,      0,      8081,   0.21,  40.52,      1508,   0.09,  32.50,-,-,-,     15204,   0.23,  38.41,
                    LCL Walk,      5370,   0.67,  95.63,         0,      0,   0.00,      7830,   0.20,  96.89,      1498,   0.09,  99.35,-,-,-,     14698,   0.22,  96.67,
                    LCL Drive,       245,   0.03,   4.37,         0,      0,   0.00,       251,   0.01,   3.11,        10,   0.00,   0.65,-,-,-,       506,   0.01,   3.33
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),       606,   0.08,   4.04,         0,      0,      0,      1469,   0.04,   7.37,       676,   0.04,  14.56,-,-,-,      2750,   0.04,   6.95,
                    BRT Walk,       590,   0.07,  97.43,         0,      0,   0.00,      1458,   0.04,  99.28,       664,   0.04,  98.29,-,-,-,      2713,   0.04,  98.63,
                    BRT Drive,        16,   0.00,   2.57,         0,      0,   0.00,        11,   0.00,   0.72,        12,   0.00,   1.71,-,-,-,        38,   0.00,   1.37
            4) Express Bus (EXP),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    EXP Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    EXP Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Light-Rail Transit (LRT),      6553,   0.81,  43.68,         0,      0,      0,      8160,   0.21,  40.91,      2163,   0.12,  46.61,-,-,-,     16876,   0.25,  42.63,
                    LRT Walk,      5262,   0.65,  80.30,         0,      0,   0.00,      7413,   0.19,  90.85,      2067,   0.12,  95.55,-,-,-,     14742,   0.22,  87.36,
                    LRT Drive,      1291,   0.16,  19.70,         0,      0,   0.00,       746,   0.02,   9.15,        96,   0.01,   4.45,-,-,-,      2134,   0.03,  12.64
            4) Commuter-Rail Transit (CRT),      2214,   0.27,  14.76,         0,      0,      0,      2213,   0.06,  11.10,       285,   0.02,   6.14,-,-,-,      4713,   0.07,  11.90,
                    CRT Walk,       862,   0.11,  38.92,         0,      0,   0.00,      1063,   0.03,  48.04,       191,   0.01,  66.98,-,-,-,      2116,   0.03,  44.90,
                    CRT Drive,      1353,   0.17,  61.08,         0,      0,   0.00,      1150,   0.03,  51.96,        94,   0.01,  33.02,-,-,-,      2597,   0.04,  55.10,
  
   Model: v10x,
   Scenario: C64,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Off-Peak Period,
   Shares\RegionShares_Ok.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
