Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        5356.98,        1468.27,       19171.10,        3217.63,        1149.22,       10120.10,       14589.82,              0,              0,              0,              0,           0.25,              0,              0,              0,       68906.69,         985.19,        2003.75,         500.94,         272.80,        1097.39,          80.97,         875.70,        2107.41,          63.79,          38.85,         192.09,         182.67,          33.63,        1012.93,          39.96,          40.30,         177.91
         3,       14495.85,       12272.39,      182545.63,       31411.80,       10983.03,       28674.17,       55196.94,              0,              0,              0,              0,              0,              0,              0,              0,       97318.94,        1728.79,        4111.05,         804.59,         384.63,        2199.32,         168.38,        3154.17,        4803.25,         198.49,          83.36,         477.48,         497.82,         218.42,        2059.03,         162.63,         154.50,         586.66
         4,       20811.20,       22389.00,      174948.80,       20883.50,        8847.39,       25280.44,       83762.26,           0.03,              0,              0,              0,           5.04,              0,              0,              0,       65914.66,        2541.82,        5780.39,        1162.67,         607.88,        2693.93,         311.75,        3679.07,        3931.19,         156.70,          31.73,         331.94,         310.85,         198.95,         820.81,          60.54,          55.00,         238.44
         5,       30222.62,       41639.47,      309077.03,       52835.39,       24799.49,       28555.06,       90371.55,           0.54,              0,           0.31,           0.03,          20.05,              0,           0.37,           0.17,       41895.90,        2298.86,        5752.47,        1025.31,         487.14,        2608.03,         156.95,        2925.52,        4110.27,         127.35,          41.28,         329.73,         179.09,         185.15,         702.50,          44.79,          41.62,         210.37
         6,       34844.34,       50958.60,      294270.17,       50225.34,       27444.80,       30118.09,       95759.47,           1.75,              0,              0,           0.04,          36.94,              0,           0.22,           0.21,       10779.96,        2474.24,        6239.12,        1125.17,         528.25,        2680.37,          71.17,        2046.32,        5653.22,         112.19,          60.04,         473.89,          95.14,         244.66,        1080.07,          56.69,          48.42,         257.29
         7,       46424.72,       67907.10,      320148.75,       38706.19,       24133.52,       42261.68,      129800.49,           0.16,              0,           2.08,           0.43,          35.26,              0,           1.39,           0.60,        9742.79,        3349.67,        8666.67,        1527.81,         794.65,        3505.26,          99.37,        2729.45,        5855.67,         138.71,          60.23,         493.53,         126.49,         194.25,        1174.59,          72.17,          50.85,         229.33
         8,       47266.93,       69922.64,      307891.77,       21727.45,       24100.04,       41291.49,      117613.42,           9.67,              0,           0.35,              0,         101.20,              0,           0.38,              0,        7179.37,        3301.13,        8409.25,        1466.33,         720.62,        3342.72,         138.08,        3369.93,        5219.42,         171.84,          54.18,         430.76,         153.85,         101.14,         994.51,          72.63,          45.93,         189.75
         9,       45766.91,       68906.33,      292993.45,       17862.96,       25494.50,       35400.76,      102606.82,          51.40,              0,           4.21,           2.41,         299.68,              0,           4.26,           3.15,        6372.27,        2874.24,        7590.38,        1371.00,         653.25,        3076.15,         153.65,        3626.66,        5058.89,         200.51,          49.37,         417.00,         167.20,         112.05,         894.96,          76.15,          48.91,         191.92
        10,       44919.51,       64017.84,      268317.90,       13804.40,       29657.62,       33476.78,       93379.16,         366.52,              0,          10.31,           2.11,         264.49,              0,          20.85,           3.63,        6324.98,        2668.84,        7254.26,        1320.31,         579.84,        2919.20,         162.83,        3633.21,        4503.77,         203.11,          43.04,         363.48,         205.19,         125.59,         897.23,          91.29,          60.38,         222.30
        11,       47394.74,       62194.69,      243958.61,       16516.08,       31342.61,       37317.78,       94692.79,         186.72,              0,          11.79,           1.59,         334.50,              0,          21.05,           3.72,        6093.69,        3048.80,        7956.57,        1439.61,         676.46,        3091.13,         169.79,        4006.32,        4211.16,         191.05,          40.08,         325.51,         168.87,         100.54,         855.21,          69.32,          45.78,         173.84
        12,       47723.51,       56754.23,      220147.15,       15371.96,       28428.67,       34853.27,       85398.47,         505.36,              0,          61.50,           3.89,         505.32,              0,          63.98,           5.41,        5468.41,        2638.79,        7457.28,        1326.93,         614.42,        2832.26,         121.16,        3398.30,        3914.69,         173.79,          39.34,         298.31,         190.72,          86.33,         718.07,          65.75,          43.93,         163.74
        13,       44790.77,       48271.81,      197137.30,       14182.23,       19491.52,       26996.54,       65853.36,         981.12,              0,          51.41,           1.37,         567.31,              0,          42.40,           3.27,        4840.86,        2504.91,        6599.18,        1263.29,         540.39,        2615.28,         122.60,        3747.78,        4042.56,         200.97,          40.39,         318.97,         210.98,          97.89,         852.15,          72.53,          48.07,         181.31
        14,       42353.71,       41522.47,      178428.25,       10644.76,       12877.53,       21889.04,       54504.59,         973.27,              0,         135.63,          11.59,         401.65,              0,         175.35,          12.94,        4686.38,        2355.28,        6068.30,        1219.08,         485.10,        2438.90,         115.62,        3531.76,        3856.13,         192.57,          39.46,         293.62,         214.54,          93.46,         801.43,          69.84,          46.76,         171.53
        15,       45462.30,       36547.27,      157893.61,        6632.36,       10576.24,       33002.11,       67489.51,        1253.75,              0,          46.11,           5.06,        1093.08,              0,          66.66,          10.83,        4100.07,        2138.55,        5930.87,        1114.61,         473.76,        2271.83,         109.32,        3471.04,        3409.83,         202.38,          39.40,         266.67,         177.98,          72.52,         683.67,          50.95,          34.52,         142.31
