Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.25,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       11115.08,        6444.14,       94071.00,       18370.21,        6146.33,       27454.34,       45825.48,              0,              0,              0,              0,              0,              0,              0,              0,      110909.42,        1567.76,        3404.42,         786.30,         396.09,        1838.48,         164.23,        2294.34,        5039.15,         162.65,          88.47,         486.33,         396.53,         132.94,        2314.77,         125.89,         120.45,         478.78
         3,       15848.57,       16128.32,      204306.52,       30350.54,       11988.55,       19519.68,       47627.58,           0.57,              0,           0.16,           0.03,          24.88,              0,           0.24,           0.02,       72512.50,        1694.59,        4165.02,         796.75,         428.36,        2202.31,         180.21,        3461.89,        2857.55,         196.94,          45.75,         259.50,         497.09,         209.78,         941.27,         114.52,         111.23,         432.85
         4,       38118.52,       57188.85,      421020.92,       69375.69,       33476.57,       41441.83,      144173.43,           1.72,              0,           0.22,           0.04,          68.74,              0,           0.57,           0.36,       79748.04,        3292.66,        7754.69,        1478.88,         685.99,        3485.64,         326.81,        3857.77,        6468.23,         145.30,          50.88,         521.57,         239.39,         272.42,        1123.76,          63.02,          55.00,         263.45
         5,       41610.39,       67954.97,      395876.36,       59816.41,       35135.43,       38323.54,      114493.95,          13.81,              0,           2.01,           0.43,         132.52,              0,           1.17,           0.60,       18746.71,        2697.36,        6687.93,        1170.51,         536.67,        2946.12,         102.39,        2836.87,        6105.56,         145.93,          68.26,         496.20,         124.13,         253.18,        1191.87,          60.67,          53.22,         273.46
         6,       58729.58,       96405.72,      435177.90,       38334.13,       34393.91,       55527.72,      169151.89,         360.36,              0,          10.58,           4.26,         583.04,              0,          18.17,           4.96,       11786.21,        3768.50,        9662.08,        1721.43,         836.50,        3959.09,         129.73,        3431.32,        7449.15,         180.98,          75.30,         635.62,         181.43,         246.77,        1494.57,         106.89,          72.70,         322.99
         7,       64798.08,      101183.69,      431626.02,       26224.92,       40981.34,       57331.96,      162701.66,         336.78,              0,          58.46,           5.56,         356.20,              0,          70.35,          10.50,        9437.73,        4293.56,       10931.20,        1912.49,         954.32,        4354.96,         185.98,        4511.75,        7581.51,         238.85,          78.76,         632.80,         200.72,         144.26,        1332.31,          95.48,          60.51,         247.25
         8,       61476.56,       94662.19,      378489.58,       24074.60,       47139.25,       49202.69,      135415.71,        1650.26,              0,         137.20,           4.25,        1414.36,              0,         125.96,           6.67,        8192.11,        3515.78,        9408.53,        1703.50,         791.64,        3819.11,         217.33,        4973.82,        6523.44,         267.80,          61.67,         524.47,         268.70,         170.92,        1240.84,         123.61,          81.13,         302.31
         9,       65928.54,       87860.68,      329039.82,       23134.69,       36950.33,       49635.46,      126277.30,        1998.05,              0,         126.87,          14.17,        1580.97,              0,         191.77,          21.49,        8023.74,        3547.98,        9883.34,        1786.69,         809.67,        3867.97,         183.07,        4878.03,        5820.45,         255.08,          56.48,         464.75,         254.26,         146.36,        1185.60,         107.70,          71.69,         263.91
