Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       94230.70,      127020.99,      826294.20,      115665.75,       50346.78,      158875.45,      419245.85,              0,              0,              0,              0,           0.25,              0,              0,              0,      259769.53,        9788.83,       22729.69,        4535.50,        2636.63,       10598.59,         982.10,       16645.18,       22149.11,         845.55,         275.08,        1964.17,        1352.98,         811.82,        6299.11,         363.92,         329.87,        1460.07
         1,      150856.05,      232447.15,     1116242.99,      117643.88,       92671.56,      135885.78,      376533.99,           1.35,              0,           0.31,           0.07,          41.31,              0,           0.58,           0.38,       45931.39,        9794.05,       24693.87,        4275.82,        2010.67,       10062.69,         508.03,       13420.91,       18370.85,         664.64,         174.05,        1447.48,         620.60,         550.45,        3399.92,         271.06,         189.48,         788.70
         2,      138421.53,      178576.63,      761416.64,       48094.82,       84934.99,      100233.45,      251384.30,          14.02,              0,           5.06,           2.55,         164.41,              0,           4.96,           3.41,       16434.74,        7548.02,       20139.65,        3557.24,        1602.37,        7954.28,         390.96,       11621.81,       13386.95,         634.80,         136.79,        1042.16,         634.27,         343.22,        2783.76,         246.74,         165.06,         615.47
         3,      123386.77,      116748.24,      518028.04,       30568.98,       48906.43,       70323.04,      162644.79,         600.10,              0,          29.32,           2.83,         592.19,              0,          55.33,           5.83,       12031.03,        6023.22,       16441.69,        3102.88,        1270.41,        6466.36,         332.01,       10397.23,       10131.98,         588.60,         111.65,         788.55,         631.25,         257.91,        2162.27,         196.67,         131.83,         492.94
         4,      111179.74,       73536.84,      349002.49,       11335.37,       26500.66,       55121.39,      113255.31,        1398.15,              0,         124.14,          11.83,        1207.92,              0,         158.81,          15.64,        9242.47,        4557.20,       12640.68,        2541.76,         969.88,        5004.09,         255.15,        8928.20,        7819.46,         512.73,          87.28,         611.66,         550.43,         192.63,        1606.36,         143.04,          97.22,         368.55
         5,      102174.55,       45756.93,      249033.59,        6138.09,       16680.10,       42693.92,       80721.11,        1795.60,              0,         203.05,          13.77,        2317.27,              0,         222.78,          22.28,        6903.31,        3438.52,        9737.82,        2011.90,         736.28,        3852.91,         192.18,        7502.96,        5800.93,         430.79,          60.12,         436.88,         458.70,         144.59,        1146.55,          99.13,          66.13,         257.10
         6,       94308.10,       28363.37,      183490.71,        3813.26,        9194.67,       32902.44,       57939.14,        2037.47,              0,         110.42,          23.81,        2739.07,              0,         118.74,          27.56,        5137.52,        2598.53,        7474.45,        1583.02,         556.30,        2973.24,         154.88,        6103.94,        4237.86,         345.53,          39.28,         303.31,         344.79,          90.18,         733.16,          55.74,          36.80,         158.99
         7,       84729.99,       19588.53,      140040.28,        2633.16,        5830.29,       27479.75,       44883.32,        2947.65,              0,         165.12,          30.78,        7036.52,              0,         210.72,          46.03,        3986.34,        2112.67,        6120.07,        1339.40,         468.30,        2452.25,         144.48,        5434.52,        3429.91,         311.26,          33.04,         242.25,         326.45,          82.65,         596.73,          51.44,          34.59,         139.58
         8,       76056.84,       13446.32,      108894.10,        1910.27,        3768.36,       23084.91,       36150.00,        1992.12,              0,         200.01,          43.40,        9297.96,              0,         273.50,          64.43,        3030.30,        1705.51,        5099.08,        1157.13,         396.71,        2035.00,         121.94,        4613.20,        2785.96,         261.59,          24.63,         198.18,         260.13,          56.25,         388.08,          35.44,          22.81,          87.60
         9,       68134.49,        9781.62,       90906.02,        1379.11,        2469.64,       20302.23,       29445.25,        1672.43,              0,         172.52,          66.79,        8271.01,              0,         214.75,          87.27,        2311.63,        1426.23,        4368.04,        1012.12,         357.94,        1754.62,         121.12,        4057.65,        2371.47,         237.73,          19.54,         165.64,         205.64,          47.65,         310.77,          30.21,          19.62,          69.49
