Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4979.44,        1340.94,       17505.94,        3021.40,        1087.05,        9505.97,       13494.59,              0,              0,              0,              0,           0.25,              0,              0,              0,       63554.75,         883.54,        1795.87,         456.67,         248.78,         985.41,          79.50,         823.51,        1959.99,          63.63,          39.61,         189.42,         158.80,          29.93,         932.72,          35.45,          36.43,         159.69
         3,       13604.00,       11597.88,      168910.70,       30261.13,       10516.71,       27067.72,       51710.86,              0,              0,              0,              0,              0,              0,              0,              0,       92295.85,        1585.44,        3781.79,         751.04,         358.62,        2028.38,         167.24,        2943.83,        4862.59,         202.89,          98.65,         565.38,         527.86,         204.12,        2028.08,         150.41,         145.84,         555.93
         4,       21507.44,       21940.70,      177203.26,       23239.18,       10304.68,       24457.36,       80901.12,           0.06,              0,              0,              0,           8.02,              0,           0.01,              0,       64262.79,        2415.31,        5569.84,        1127.10,         580.23,        2591.01,         278.82,        3189.38,        3720.53,         140.32,          34.28,         341.38,         312.11,         199.41,         843.65,          58.40,          54.28,         236.65
         5,       30952.06,       42363.81,      304636.96,       53942.87,       25231.06,       28758.28,       90492.23,           0.41,              0,           0.25,           0.07,          24.36,              0,           0.28,           0.22,       42675.73,        2280.81,        5738.84,        1042.47,         490.64,        2603.40,         149.54,        2747.77,        4523.23,         146.47,          58.38,         439.71,         223.45,         202.37,         769.83,          48.09,          45.58,         237.58
         6,       37340.80,       52642.99,      302080.88,       50423.12,       27455.74,       30910.70,       98174.66,           1.31,              0,           0.25,              0,          51.80,              0,           0.43,           0.13,       10897.82,        2517.07,        6361.81,        1166.20,         554.65,        2758.59,          73.57,        2092.06,        5950.02,         122.24,          73.06,         534.87,         106.50,         248.79,        1151.04,          57.42,          50.14,         265.19
         7,       49318.94,       70606.10,      327124.22,       39166.06,       26098.29,       43809.64,      132442.71,           0.35,              0,           1.59,           0.44,          24.10,              0,           0.89,           0.57,       10051.88,        3416.42,        8869.39,        1577.89,         796.05,        3577.55,         106.78,        2901.47,        6176.47,         155.96,          72.85,         591.02,         162.78,         210.76,        1278.18,          81.60,          57.89,         259.40
         8,       49985.80,       71590.15,      312633.64,       22331.09,       24096.46,       42414.41,      120199.50,           5.95,              0,           1.24,           0.43,          86.27,              0,           1.81,           0.60,        7500.49,        3366.08,        8574.17,        1512.44,         722.71,        3414.12,         128.88,        3056.83,        5489.59,         168.31,          67.09,         523.35,         163.42,          97.27,        1085.48,          65.29,          42.59,         184.38
         9,       47884.96,       70904.84,      300722.32,       16487.35,       26938.72,       36668.34,      105610.75,          51.32,              0,           5.94,           1.89,         244.09,              0,           6.10,           2.28,        6692.37,        2939.30,        7885.06,        1438.04,         680.32,        3183.05,         151.19,        3524.43,        5201.02,         201.48,          58.97,         478.96,         219.22,         139.08,        1074.86,          99.62,          65.06,         245.93
        10,       47675.89,       65622.12,      278222.39,       14564.76,       28823.69,       34851.40,       95748.19,         235.23,              0,           8.35,           1.98,         305.21,              0,          15.94,           4.36,        6488.30,        2761.89,        7560.94,        1399.46,         625.69,        3052.40,         163.51,        3567.25,        4638.21,         209.98,          55.17,         439.79,         210.98,         110.41,         929.68,          73.87,          49.14,         193.20
        11,       49795.76,       63487.74,      248512.95,       16273.24,       31058.91,       38750.68,       96958.86,         197.01,              0,           7.22,           1.28,         261.29,              0,          12.75,           2.50,        6277.20,        3101.77,        8097.92,        1478.02,         691.65,        3157.05,         159.74,        3710.87,        4409.76,         187.33,          49.70,         401.94,         231.43,         119.31,         987.46,          86.06,          57.69,         215.45
        12,       50075.93,       57169.84,      224280.90,       15615.02,       29266.34,       36792.38,       88146.49,         640.77,              0,          50.18,           3.89,         593.73,              0,          54.78,           5.29,        5565.86,        2675.12,        7465.54,        1356.01,         623.27,        2864.96,         124.13,        3473.76,        4255.25,         187.10,          53.29,         380.91,         235.24,          93.69,         872.89,          66.35,          45.44,         173.58
        13,       45948.52,       48288.53,      201712.45,       13143.87,       19075.87,       27581.09,       66924.98,         639.72,              0,         116.86,           8.92,         410.18,              0,         134.97,          10.37,        5096.43,        2613.29,        6832.71,        1314.75,         538.00,        2688.02,         119.68,        3608.28,        4170.04,         201.56,          50.37,         364.73,         257.11,         101.74,         947.63,          78.14,          53.15,         201.53
        14,       45625.51,       42636.78,      177321.31,       10791.40,       12034.67,       21780.94,       54272.95,        1033.16,              0,          51.09,           4.20,         835.02,              0,          59.19,           7.65,        4798.05,        2296.01,        6164.33,        1242.37,         506.63,        2480.38,         106.52,        3409.79,        3798.75,         189.99,          45.18,         332.51,         237.71,          98.59,         909.76,          69.19,          47.06,         181.13
        15,       46129.38,       35908.33,      162492.48,        6515.43,       10905.25,       33691.91,       68722.62,         991.26,              0,          60.57,           3.71,        1123.09,              0,          78.00,           7.05,        4170.62,        2183.22,        5981.62,        1142.53,         475.40,        2308.73,         110.80,        3465.75,        3514.75,         201.43,          52.60,         327.26,         243.17,          81.43,         779.98,          62.52,          43.47,         172.31
