Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       10348.58,        5941.95,       86259.38,       17410.56,        5838.94,       25838.12,       42633.69,              0,              0,              0,              0,           0.01,              0,              0,              0,      102685.02,        1407.66,        3055.64,         718.07,         362.65,        1654.66,         162.19,        2146.96,        4767.46,         164.48,          96.19,         507.31,         360.58,         116.75,        2201.52,         111.62,         108.70,         433.42
         3,       16502.44,       17131.66,      207408.38,       32654.69,       12842.10,       19364.48,       48156.01,           0.42,              0,           0.25,           0.03,          20.81,              0,           0.29,           0.03,       71642.09,        1626.89,        4046.07,         782.46,         415.94,        2127.57,         173.27,        3150.12,        3208.54,         189.42,          55.40,         342.16,         528.42,         207.53,         966.09,         110.07,         109.18,         425.33
         4,       39093.07,       58217.40,      419560.32,       72174.99,       35189.62,       40832.16,      140610.50,           1.36,              0,           1.84,           0.04,          63.37,              0,           1.32,           0.42,       77782.32,        3173.08,        7543.47,        1450.26,         660.15,        3395.78,         297.61,        3428.58,        6372.24,         139.02,          58.29,         572.60,         275.11,         285.04,        1241.66,          65.07,          58.49,         283.60
         5,       45162.34,       72958.99,      416413.30,       60466.83,       38202.60,       41033.56,      121718.33,          29.23,              0,           3.67,           0.87,         199.26,              0,           3.86,           0.47,       19040.69,        2820.03,        7031.03,        1251.53,         572.22,        3105.47,         103.22,        2927.47,        7043.07,         181.17,          95.23,         661.38,         162.76,         299.64,        1310.04,          75.78,          65.65,         324.57
         6,       65126.52,      103271.29,      461689.41,       38617.44,       35749.67,       60204.47,      181101.52,         225.67,              0,          47.83,           3.52,         447.93,              0,          55.93,           6.12,       12462.02,        3969.23,       10246.03,        1843.38,         878.66,        4178.62,         140.82,        3608.98,        8056.05,         197.33,          93.05,         755.42,         199.17,         225.65,        1572.47,          98.57,          68.20,         314.12
         7,       68983.22,      104958.48,      450026.34,       26736.59,       43974.37,       59478.17,      166732.64,         482.41,              0,          60.44,           4.72,         562.43,              0,          62.73,           7.23,        9766.08,        4391.44,       11246.83,        1988.46,         992.85,        4500.02,         195.70,        4698.23,        7953.30,         263.00,          97.12,         757.77,         280.44,         184.02,        1551.47,         129.14,          83.07,         321.09
         8,       68097.15,      101067.06,      394189.22,       24840.55,       48239.38,       52538.45,      142076.85,        1759.12,              0,         122.87,          11.21,        1077.49,              0,         155.40,          13.72,        8574.40,        3667.76,        9870.28,        1816.87,         807.49,        4003.45,         213.58,        4846.31,        6860.79,         280.67,          77.46,         626.84,         300.31,         166.05,        1429.23,         113.89,          75.82,         303.11
         9,       71340.31,       89439.91,      340305.15,       22291.11,       36233.42,       52422.55,      131412.98,        1964.35,              0,         137.12,           9.90,        2394.20,              0,         164.56,          15.64,        8560.54,        3743.75,       10525.01,        1923.52,         884.41,        4107.88,         187.16,        5017.98,        6402.47,         276.46,          80.27,         587.85,         307.17,         151.49,        1345.90,         108.68,          72.70,         275.14
