TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    888548, 100.00, 100.00,    112528, 100.00, 100.00,   1952090, 100.00, 100.00,    862560, 100.00, 100.00,    445436, 100.00, 100.00,   4261161, 100.00, 100.00,
    2) Non-Motorized,     29125,   3.28,   3.28,     26962,  23.96,  23.96,    156434,   8.01,   8.01,     57712,   6.69,   6.69,     73499,  16.50,  16.50,    343732,   8.07,   8.07,
    2) Motorized,    859423,  96.72,  96.72,     85567,  76.04,  76.04,   1795656,  91.99,  91.99,    804847,  93.31,  93.31,    371937,  83.50,  83.50,   3917429,  91.93,  91.93
        3) Auto,    838618,  94.38,  97.58,     67071,  59.60,  78.38,   1786895,  91.54,  99.51,    803108,  93.11,  99.78,-,-,-,   3867628,  90.76,  98.73,
            4) Auto 1 pers,    720793,  81.12,  85.95,     48272,  42.90,  71.97,    575919,  29.50,  32.23,    363751,  42.17,  45.29,-,-,-,   1708736,  40.10,  44.18,
                    GP use,    719873,  81.02,  99.87,     48216,  42.85,  99.88,    576043,  29.51, 100.02,    363578,  42.15,  99.95,-,-,-,   1707710,  40.08,  99.94,
                    Toll use,       982,   0.11,   0.14,        57,   0.05,   0.12,       181,   0.01,   0.03,       296,   0.03,   0.08,-,-,-,      1516,   0.04,   0.09
            4) Auto 2 pers,     88050,   9.91,  10.50,     13799,  12.26,  20.57,    597068,  30.59,  33.41,    211256,  24.49,  26.30,-,-,-,    910173,  21.36,  23.53,
                    GP use,     66105,   7.44,  75.08,     10449,   9.29,  75.72,    560506,  28.71,  93.88,    189812,  22.01,  89.85,-,-,-,    826872,  19.40,  90.85,
                    HOV use,     21958,   2.47,  24.94,      3350,   2.98,  24.28,     36600,   1.87,   6.13,     21464,   2.49,  10.16,-,-,-,     83373,   1.96,   9.16,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29708,   3.34,   3.54,      5000,   4.44,   7.45,    613555,  31.43,  34.34,    227968,  26.43,  28.39,-,-,-,    876231,  20.56,  22.66,
                    GP use,     22291,   2.51,  75.03,      3786,   3.36,  75.72,    575951,  29.50,  93.87,    204811,  23.74,  89.84,-,-,-,    806839,  18.93,  92.08,
                    HOV use,      7408,   0.83,  24.93,      1214,   1.08,  24.28,     37608,   1.93,   6.13,     23157,   2.68,  10.16,-,-,-,     69387,   1.63,   7.92,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        76,   0.01,   0.01,         0,      0,      0,       360,   0.02,   0.02,       143,   0.02,   0.02,-,-,-,       579,   0.01,   0.01,
                    IMZ D2D 1 pers,        65,   0.01,  85.53,         0,      0,      0,       307,   0.02,  85.28,       123,   0.01,  86.01,-,-,-,       495,   0.01,  85.49,
                    IMZ D2D 2 pers,         9,   0.00,  11.84,         0,      0,      0,        42,   0.00,  11.67,        16,   0.00,  11.19,-,-,-,        67,   0.00,  11.57,
                    IMZ D2D 3+ pers,         2,   0.00,   2.63,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.80,-,-,-,        17,   0.00,   2.94
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    371937,  83.50,  83.50,    371937,   8.73,  83.50,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     50589,  11.36,  13.60,     50589,   1.19,  13.60,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54501,  12.24,  14.65,     54501,   1.28,  14.65,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    266847,  59.91,  71.75,    266847,   6.26,  71.75,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    171431,  38.49,  46.09,    171431,   4.02,  46.09,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     19267,   4.33,  11.24,     19267,   0.45,  11.24,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    152164,  34.16,  88.76,    152164,   3.57,  88.76,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    200506,  45.01,  53.91,    200506,   4.71,  53.91,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     31322,   7.03,  15.62,     31322,   0.74,  15.62,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54501,  12.24,  27.18,     54501,   1.28,  27.18,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    114684,  25.75,  57.20,    114684,   2.69,  57.20
        3) Transit,     20809,   2.34,   2.42,     18495,  16.44,  21.62,      8762,   0.45,   0.49,      1739,   0.20,   0.22,-,-,-,     49805,   1.17,   1.27
            4) Local Bus (LCL),      8036,   0.90,  38.62,      6762,   6.01,  36.56,      3222,   0.17,  36.78,       643,   0.07,  36.99,-,-,-,     18663,   0.44,  37.47,
