I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   129050.25,    11066.39,     9722.55,    49996.69,     4142.09,     4111.76,           0,     7227.98,    17209.39,           0,           0,           0,    16518.05,     5656.62,     3400.28,           0,           0,     8253.85,    59719.00,    24437.49,           0,    49996.69,    12292.92,     1226.89,     7700.79,      472.73,    13237.01,      622.48,     1584.88,      296.54,      121.17,      656.05,       57.97,      765.25,     4308.54,      123.26,       80.09,      321.56,      383.20,      274.49,     1958.18,      160.68,      114.85,      508.92,           0,           0,           0,           0,           0,           0
         1,         2,      960.70,       69.36,        5.33,      386.55,           0,           0,           0,       83.82,      161.59,           0,           0,           0,      191.99,       49.46,       12.90,           0,           0,           0,      391.84,      245.38,           0,      386.55,       76.66,        7.34,       87.21,        3.41,      150.46,        7.69,       22.12,        2.85,        0.90,        7.97,        0.12,        2.94,       43.71,        0.66,        0.37,        1.66,        1.77,        0.78,        8.09,        0.46,        0.20,        1.60,           0,           0,           0,           0,           0,           0
         1,         3,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9432.08,     1855.95,      443.75,     3494.57,      240.01,      340.45,           0,      638.29,      891.19,           0,           0,           0,      436.51,      629.37,      462.63,           0,           0,      580.46,     3938.28,     1529.39,           0,     3494.57,     2069.17,      213.18,      668.87,       30.17,      139.59,       41.36,      165.39,       29.02,        7.73,       53.42,        3.09,       80.85,      487.00,       19.45,       11.46,       27.52,       71.24,       54.53,      187.08,       48.24,       26.99,       74.55,           0,           0,           0,           0,           0,           0
         1,         5,     4753.67,     1237.97,       85.83,     1429.17,       14.73,       25.68,      217.00,      415.88,      412.16,           0,           0,           0,      192.04,      417.70,      308.00,           0,           0,       40.41,     1514.89,      827.55,           0,     1429.17,     1396.77,      160.31,      442.81,       26.92,       10.17,       24.46,       99.77,       21.71,        6.66,       29.27,        3.57,       56.27,      314.95,       13.91,        8.88,       20.11,       40.26,       32.63,      152.06,       26.34,       12.08,       44.63,           0,           0,           0,           0,           0,           0
         1,         6,        6.99,        0.07,           0,        2.06,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        4.68,        0.03,           0,           0,           0,           0,        2.06,        0.15,           0,        2.06,        0.07,           0,        0.04,           0,        4.68,           0,           0,           0,           0,           0,           0,           0,        0.03,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.11,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     3142.26,      909.87,       13.29,      873.46,       12.91,       27.02,       24.00,      379.79,      328.51,           0,           0,           0,      219.52,      272.14,       83.07,           0,           0,       39.92,      886.75,      708.06,           0,      873.46,     1050.22,      141.55,      405.39,       25.93,        1.61,       27.74,      120.77,       25.35,        7.76,       36.29,        0.73,       27.36,      202.72,        5.73,        6.17,       29.43,       19.21,        7.62,       37.06,        7.15,        3.11,        8.92,           0,           0,           0,           0,           0,           0
         1,         9,      771.22,      163.68,       13.82,      209.87,        1.77,        1.88,           0,       76.64,       73.92,           0,           0,           0,       71.99,      113.53,       44.26,           0,           0,        3.65,      223.69,      150.54,           0,      209.87,      184.64,       20.64,       78.86,        2.27,           0,        7.20,       40.92,       10.93,        3.08,        9.86,        0.12,       11.78,       80.96,        1.67,        3.73,       15.27,        3.44,        4.18,       25.70,        3.43,        2.05,        5.46,           0,           0,           0,           0,           0,           0
         1,        10,        0.52,           0,           0,        0.51,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.51,        0.01,           0,        0.51,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
