TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1042,350137,35,1,4,3153.1,3590.0,2833.5,3230.7,29.2,50.9,492.9,687.7,289.3,88.9,1310.6,1857.5,40.6,0.0,41.8,0.0,206.4,213.0,370.9,383.7,65.0,0.0,16.0,0.0,29.2,0.0,0.0,50.9
1043,350138,35,1,4,5677.1,5917.0,5290.3,5476.1,46.3,75.4,835.4,737.7,436.7,289.1,2040.4,2211.8,69.0,338.7,70.8,61.5,563.5,580.9,1215.5,1256.4,39.0,0.0,20.0,0.0,46.3,0.0,0.0,75.4
1044,350139,35,1,4,4206.6,8796.6,3519.8,7989.8,21.5,125.9,368.8,2105.1,210.6,404.5,947.3,3495.3,26.7,0.0,27.6,0.0,710.5,732.3,1211.2,1252.5,7.0,0.0,10.0,0.0,21.5,0.0,0.0,125.9
1045,350140,35,1,4,4449.4,3407.3,4175.1,3118.8,46.1,47.0,854.9,309.9,445.2,59.1,2018.0,2080.9,63.2,0.0,64.9,0.0,199.7,205.7,449.2,463.2,71.0,0.0,9.0,0.0,46.1,0.0,0.0,47.0
1046,350141,35,1,4,3784.7,4118.3,3521.8,3821.0,35.0,52.8,613.6,624.8,343.5,157.9,1525.8,1655.7,42.3,0.0,43.6,500.0,280.5,288.9,575.3,593.6,83.0,0.0,14.0,0.0,35.0,0.0,0.0,52.8
1047,350142,35,1,4,4388.4,2621.3,4130.0,2360.4,43.8,35.1,816.2,147.8,412.0,57.7,2015.8,1455.1,77.8,0.0,79.7,0.0,206.2,211.9,474.3,487.8,40.0,0.0,8.0,0.0,43.8,0.0,0.0,35.1
1048,350143,35,1,4,5348.5,7882.7,4691.6,7135.9,38.3,112.0,663.0,2103.2,360.5,322.0,1772.4,2953.2,67.6,0.0,69.3,0.0,635.5,653.4,1072.2,1104.1,40.0,0.0,11.0,0.0,38.3,0.0,0.0,112.0
1049,350144,35,1,4,2988.6,2408.5,2786.7,2205.7,30.9,24.3,593.7,74.2,304.1,2.8,1380.4,1242.6,43.5,545.3,44.7,0.0,102.9,105.6,229.4,235.1,82.0,0.0,6.0,0.0,30.9,0.0,0.0,24.3
1050,350145,35,1,4,2781.7,1542.4,2671.3,1428.0,28.3,23.4,516.0,15.9,267.2,0.0,1255.6,1124.3,41.9,0.0,43.1,0.0,79.1,81.2,201.4,206.6,261.0,0.0,6.0,0.0,28.3,0.0,0.0,23.4
1051,350146,35,1,4,48097.2,141223.5,43659.0,135879.1,32.1,836.9,743.8,28686.0,348.5,755.2,1682.0,38862.4,52.6,0.0,53.6,0.0,16460.0,16819.3,20465.5,20833.3,3781.0,29923.0,72.0,0.0,32.1,0.0,0.0,836.9
