TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    891695, 100.00, 100.00,    112531, 100.00, 100.00,   1952228, 100.00, 100.00,    862626, 100.00, 100.00,    445453, 100.00, 100.00,   4264533, 100.00, 100.00,
    2) Non-Motorized,     27449,   3.08,   3.08,     25799,  22.93,  22.93,    157742,   8.08,   8.08,     56483,   6.55,   6.55,     74737,  16.78,  16.78,    342210,   8.02,   8.02,
    2) Motorized,    864246,  96.92,  96.92,     86732,  77.07,  77.07,   1794486,  91.92,  91.92,    806143,  93.45,  93.45,    370716,  83.22,  83.22,   3922323,  91.98,  91.98
        3) Auto,    843906,  94.64,  97.65,     67028,  59.56,  77.28,   1785390,  91.45,  99.49,    804373,  93.25,  99.78,-,-,-,   3871413,  90.78,  98.70,
            4) Auto 1 pers,    724663,  81.27,  85.87,     48194,  42.83,  71.90,    575248,  29.47,  32.22,    364246,  42.23,  45.28,-,-,-,   1712351,  40.15,  44.23,
                    GP use,    723602,  81.15,  99.85,     48136,  42.78,  99.88,    575337,  29.47, 100.02,    364070,  42.20,  99.95,-,-,-,   1711145,  40.13,  99.93,
                    Toll use,      1117,   0.13,   0.15,        58,   0.05,   0.12,       217,   0.01,   0.04,       299,   0.03,   0.08,-,-,-,      1690,   0.04,   0.10
            4) Auto 2 pers,     89111,   9.99,  10.56,     13825,  12.29,  20.63,    596660,  30.56,  33.42,    211628,  24.53,  26.31,-,-,-,    911223,  21.37,  23.54,
                    GP use,     66604,   7.47,  74.74,     10434,   9.27,  75.47,    559524,  28.66,  93.78,    190004,  22.03,  89.78,-,-,-,    826566,  19.38,  90.71,
                    HOV use,     22519,   2.53,  25.27,      3391,   3.01,  24.53,     37175,   1.90,   6.23,     21642,   2.51,  10.23,-,-,-,     84726,   1.99,   9.30,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     30072,   3.37,   3.56,      5009,   4.45,   7.47,    613134,  31.41,  34.34,    228368,  26.47,  28.39,-,-,-,    876584,  20.56,  22.64,
                    GP use,     22468,   2.52,  74.71,      3781,   3.36,  75.47,    574943,  29.45,  93.77,    205018,  23.77,  89.77,-,-,-,    806209,  18.90,  91.97,
                    HOV use,      7598,   0.85,  25.26,      1229,   1.09,  24.53,     38197,   1.96,   6.23,     23352,   2.71,  10.23,-,-,-,     70375,   1.65,   8.03,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        76,   0.01,   0.01,         0,      0,      0,       359,   0.02,   0.02,       143,   0.02,   0.02,-,-,-,       578,   0.01,   0.01,
                    IMZ D2D 1 pers,        65,   0.01,  85.53,         0,      0,      0,       306,   0.02,  85.24,       123,   0.01,  86.01,-,-,-,       494,   0.01,  85.47,
                    IMZ D2D 2 pers,         9,   0.00,  11.84,         0,      0,      0,        42,   0.00,  11.70,        16,   0.00,  11.19,-,-,-,        67,   0.00,  11.59,
                    IMZ D2D 3+ pers,         2,   0.00,   2.63,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.80,-,-,-,        17,   0.00,   2.94
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    370716,  83.22,  83.22,    370716,   8.69,  83.22,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     49372,  11.08,  13.32,     49372,   1.16,  13.32,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54445,  12.22,  14.69,     54445,   1.28,  14.69,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    266898,  59.92,  72.00,    266898,   6.26,  72.00,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    170755,  38.33,  46.06,    170755,   4.00,  46.06,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     18764,   4.21,  10.99,     18764,   0.44,  10.99,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    151991,  34.12,  89.01,    151991,   3.56,  89.01,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    199960,  44.89,  53.94,    199960,   4.69,  53.94,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     30608,   6.87,  15.31,     30608,   0.72,  15.31,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54445,  12.22,  27.23,     54445,   1.28,  27.23,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    114907,  25.80,  57.46,    114907,   2.69,  57.46
        3) Transit,     20343,   2.28,   2.35,     19704,  17.51,  22.72,      9097,   0.47,   0.51,      1769,   0.21,   0.22,-,-,-,     50914,   1.19,   1.30
            4) Local Bus (LCL),      7187,   0.81,  35.33,      7120,   6.33,  36.14,      3312,   0.17,  36.41,       653,   0.08,  36.89,-,-,-,     18272,   0.43,  35.89,
                    LCL Walk,      6740,   0.76,  93.79,      6026,   5.36,  84.63,      3237,   0.17,  97.74,       638,   0.07,  97.72,-,-,-,     16641,   0.39,  91.08,
                    LCL Drive,       447,   0.05,   6.21,      1094,   0.97,  15.37,        75,   0.00,   2.26,        15,   0.00,   2.28,-,-,-,      1631,   0.04,   8.92
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),      1218,   0.14,   5.99,      4655,   4.14,  23.62,       677,   0.03,   7.44,       185,   0.02,  10.45,-,-,-,      6735,   0.16,  13.23,
                    BRT Walk,      1151,   0.13,  94.50,      3501,   3.11,  75.21,       673,   0.03,  99.46,       185,   0.02,  99.88,-,-,-,      5510,   0.13,  81.81,
                    BRT Drive,        67,   0.01,   5.50,      1154,   1.03,  24.79,         4,   0.00,   0.54,         0,   0.00,   0.12,-,-,-,      1225,   0.03,  18.19
            4) Express Bus (EXP),       516,   0.06,   2.54,       170,   0.15,   0.86,        49,   0.00,   0.54,        14,   0.00,   0.79,-,-,-,       749,   0.02,   1.47,
                    EXP Walk,       238,   0.03,  46.08,       123,   0.11,  72.51,        45,   0.00,  92.35,        14,   0.00,  99.99,-,-,-,       420,   0.01,  56.11,
                    EXP Drive,       278,   0.03,  53.92,        47,   0.04,  27.49,         4,   0.00,   7.65,         0,   0.00,   0.01,-,-,-,       329,   0.01,  43.89
            4) Light-Rail Transit (LRT),      7217,   0.81,  35.48,      4218,   3.75,  21.41,      3995,   0.20,  43.91,       718,   0.08,  40.60,-,-,-,     16149,   0.38,  31.72,
                    LRT Walk,      5589,   0.63,  77.44,      2919,   2.59,  69.19,      3523,   0.18,  88.18,       680,   0.08,  94.68,-,-,-,     12711,   0.30,  78.71,
                    LRT Drive,      1629,   0.18,  22.56,      1299,   1.15,  30.81,       472,   0.02,  11.82,        38,   0.00,   5.32,-,-,-,      3438,   0.08,  21.29
            4) Commuter-Rail Transit (CRT),      4184,   0.47,  20.57,      3541,   3.15,  17.97,      1045,   0.05,  11.48,       190,   0.02,  10.76,-,-,-,      8960,   0.21,  17.60,
