ScreenlineID,SEGID_LIST,NUM_SEGMENTS,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,AM_Vol_PC,MD_Vol_PC,PM_Vol_PC,EV_Vol_PC,DY_Vol_PC,AM_Vol_LT,MD_Vol_LT,PM_Vol_LT,EV_Vol_LT,DY_Vol_LT,AM_Vol_MD,MD_Vol_MD,PM_Vol_MD,EV_Vol_MD,DY_Vol_MD,AM_Vol_HV,MD_Vol_HV,PM_Vol_HV,EV_Vol_HV,DY_Vol_HV
1.01,"['0015_349.4', '0089_422.7', '0126_020.8']",3,14040.2,26096.4,17479.0,18812.4,76428.0,11226.7,19182.1,14155.2,14672.5,59236.5,282.2,1349.5,469.5,453.4,2554.6,1178.8,2207.7,1447.1,1251.4,6085.0,1352.5,3357.1,1407.2,2435.1,8551.9
1.02,"['0015_337.0', '0060_000.8', '0084_081.7', '0089_408.1', '0126_007.7', 'WFRC_8006', 'WFRC_8414']",7,43368.9,79106.8,57303.5,60045.1,239824.3,36306.1,57115.1,47916.3,50160.6,191498.1,2426.8,12160.0,4287.7,3625.5,22500.0,2689.9,4902.5,3118.7,2766.9,13478.0,1946.1,4929.2,1980.8,3492.1,12348.2
1.03,"['0108_000.1', '0126_004.6', '0193_003.8', '1470_000.4']",4,14484.9,26307.4,21109.2,21540.9,83442.4,13128.3,22353.5,18834.3,20177.0,74493.1,636.7,3086.9,1131.3,916.6,5771.5,607.7,600.0,985.7,298.6,2492.0,112.2,267.0,157.9,148.7,685.8
1.04,"['0015_319.5', '0067_007.3', '1428_001.7']",3,36457.0,69029.0,48300.4,51806.4,205592.8,30409.6,47628.7,40256.6,42771.0,161065.9,2635.2,13171.9,4634.1,3956.9,24398.1,1458.1,3236.6,1445.9,1476.5,7617.1,1954.1,4991.8,1963.8,3602.0,12511.7
1.05,"['0015_311.8', '0068_062.6', '0089_383.5', '0215_025.7', '2338_001.9']",5,53440.6,101864.1,72572.8,79208.4,307085.9,45247.3,74694.0,61418.3,67363.0,248722.6,3437.3,17068.5,6045.1,5180.7,31731.6,2586.8,4709.8,2981.9,2661.7,12940.2,2169.2,5391.8,2127.5,4003.0,13691.5
2.01,"['0080_113.3', '0201_010.8', '2250_000.0', '2290_000.0', 'WFRC_8256', 'WFRC_8257']",6,33100.4,57077.5,42204.9,46687.6,179070.4,29211.4,44963.8,36837.9,41106.3,152119.4,1252.0,6324.2,2106.2,1905.3,11587.7,1839.5,3565.0,2246.6,2036.6,9687.7,797.5,2224.5,1014.2,1639.4,5675.6
2.02,"['0080_117.7', '0201_015.3', '2250_004.6', '2254_001.0', '2269_000.0', '2290_004.6', '2292_001.1', '2322_000.7', '2330_001.0']",9,44502.7,88943.9,62989.4,71346.9,267782.9,38467.9,69248.3,54462.3,62963.4,225141.9,2124.7,11332.6,3876.0,3577.5,20910.8,2868.4,5511.1,3560.6,2938.0,14878.1,1041.7,2851.9,1090.5,1868.0,6852.1
2.03,"['0015_305.2', '0071_020.6', '0089_376.8', '0186_006.9', '2076_005.1', '2128_006.5', '2148_004.3', '2176_002.3', '2178_004.1', '2180_004.7', '2204_002.5', '2258_002.4', '2264_003.2', '2266_006.7', '2274_000.6', '2282_000.5', '2284_000.5', 'WFRC_8409']",18,84292.7,167189.6,118697.1,131250.3,501429.7,74001.7,132522.9,104738.0,116581.3,427843.9,4316.0,22470.7,7554.5,6988.2,41329.4,4199.1,7631.7,4667.1,4403.9,20901.8,1775.9,4564.3,1737.5,3276.9,11354.6
2.04,"['0068_054.8', '0111_009.6', '0154_019.5', '0172_004.5', '0215_017.5', '2040_016.1', '2094_011.5', '2151_001.5', '2154_003.7', '2156_012.1', '2164_003.5', '2168_002.6', '2238_001.5', 'WFRC_8155']",14,68807.6,118864.5,92449.9,98551.2,378673.2,61820.8,97833.2,82831.8,89865.0,332350.8,2768.5,12880.3,4887.5,3651.9,24188.2,3457.3,6333.8,4097.0,3532.0,17420.1,761.0,1817.2,633.6,1502.3,4714.1
2.05,"['0071_018.3', '0089_374.5', '0215_000.7', '2076_003.0', '2148_002.0', '2178_001.8', '2180_002.4', '2186_004.6', '2191_000.0', '2194_001.8', '2204_000.0', '2214_000.0', '2264_000.9', '2266_004.3']",14,42158.8,78880.9,60471.7,58843.0,240354.4,37971.5,66195.6,54565.2,54251.9,212984.2,1621.4,8028.7,2964.3,2142.9,14757.3,2184.0,3659.0,2553.4,1844.6,10241.0,381.9,997.6,388.8,603.6,2371.9
2.06,"['0171_008.8', '0173_007.7', '0266_001.7', '2142_000.3', '2172_008.5']",5,20346.7,43009.7,30435.1,37217.0,131008.5,18138.6,36283.3,27626.7,34152.3,116200.9,833.7,4010.8,1395.1,1321.7,7561.3,1284.6,2435.6,1335.7,1521.3,6577.2,89.8,280.0,77.6,221.7,669.1
2.07,"['0171_010.4', '0173_009.6', '0266_003.0', '2140_002.9', '2142_002.1', '2172_010.4']",6,27077.9,57753.5,39083.8,49086.1,173001.3,23783.0,47067.3,34548.4,44450.9,149849.6,1363.1,6929.5,2393.0,2298.9,12984.5,1771.1,3206.2,1985.2,1993.8,8956.3,160.7,550.5,157.2,342.5,1210.9
