TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805595, 100.00, 100.00,         0, 100.00, 100.00,   3845101, 100.00, 100.00,   1750026, 100.00, 100.00,    250658, 100.00, 100.00,   6651382, 100.00, 100.00,
    2) Non-Motorized,     32266,   4.01,   4.01,         0,      0,      0,    305180,   7.94,   7.94,    141753,   8.10,   8.10,     41960,  16.74,  16.74,    521160,   7.84,   7.84,
    2) Motorized,    773329,  95.99,  95.99,         0,      0,      0,   3539921,  92.06,  92.06,   1608273,  91.90,  91.90,    208698,  83.26,  83.26,   6130222,  92.16,  92.16
        3) Auto,    758820,  94.19,  98.12,         0,      0,      0,   3518410,  91.50,  99.39,   1603565,  91.63,  99.71,-,-,-,   6089493,  91.55,  99.34,
            4) Auto 1 pers,    631265,  78.36,  83.19,         0,      0,      0,   1264130,  32.88,  35.93,    697372,  39.85,  43.49,-,-,-,   2592767,  38.98,  42.58,
                    GP use,    630446,  78.26,  99.87,         0,      0,      0,   1264105,  32.88, 100.00,    696417,  39.79,  99.86,-,-,-,   2590968,  38.95,  99.93,
                    Toll use,       865,   0.11,   0.14,         0,      0,      0,       490,   0.01,   0.04,      1143,   0.07,   0.16,-,-,-,      2498,   0.04,   0.10
            4) Auto 2 pers,     98285,  12.20,  12.95,         0,      0,      0,   1225582,  31.87,  34.83,    451393,  25.79,  28.15,-,-,-,   1775259,  26.69,  29.15,
                    GP use,     77396,   9.61,  78.75,         0,      0,      0,   1151578,  29.95,  93.96,    407505,  23.29,  90.28,-,-,-,   1636479,  24.60,  92.18,
                    HOV use,     20890,   2.59,  21.25,         0,      0,      0,     74064,   1.93,   6.04,     43916,   2.51,   9.73,-,-,-,    138870,   2.09,   7.82,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29219,   3.63,   3.85,         0,      0,      0,   1028163,  26.74,  29.22,    454614,  25.98,  28.35,-,-,-,   1511995,  22.73,  24.83,
                    GP use,     23004,   2.86,  78.73,         0,      0,      0,    966044,  25.12,  93.96,    410394,  23.45,  90.27,-,-,-,   1399442,  21.04,  92.56,
