I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   129459.89,    11195.33,     9725.63,    50310.00,     4140.34,     4106.68,           0,     7277.91,    17290.56,           0,           0,           0,    15662.98,     5410.64,     4340.92,           0,           0,     8246.99,    60035.25,    24568.57,           0,    50310.00,    12437.97,     1242.04,     7754.01,      475.82,    12638.89,      577.25,     1462.12,      268.06,      111.83,      604.83,       55.74,      726.90,     4111.40,      118.83,       79.93,      317.88,      494.76,      356.92,     2468.42,      214.16,      152.56,      654.31,           0,           0,           0,           0,           0,           0
         1,         2,      884.07,       69.26,        3.90,      345.35,           0,           0,           0,       81.31,      150.55,           0,           0,           0,      169.72,       47.07,       17.37,           0,           0,           0,      349.20,      231.81,           0,      345.35,       76.45,        7.26,       84.54,        3.29,      134.26,        6.65,       18.95,        2.36,        0.76,        6.77,        0.13,        2.88,       41.33,        0.66,        0.39,        1.68,        2.50,        1.16,       10.36,        0.73,        0.31,        2.32,           0,           0,           0,           0,           0,           0
         1,         3,        0.30,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.30,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.30,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9422.87,     1833.58,      436.35,     3338.48,      240.35,      341.74,           0,      637.02,      867.82,           0,           0,           0,      584.32,      625.15,      518.83,           0,           0,      582.09,     3774.81,     1504.74,           0,     3338.48,     2043.68,      210.12,      667.41,       30.11,      182.04,       56.69,      218.62,       41.78,       10.94,       74.24,        3.20,       77.94,      484.03,       19.19,       11.98,       28.82,       79.51,       63.68,      203.15,       57.61,       31.09,       83.80,           0,           0,           0,           0,           0,           0
         1,         5,     4811.91,     1202.58,       89.15,     1405.22,       15.25,       27.51,      217.00,      413.96,      405.43,           0,           0,           0,      269.58,      418.37,      350.98,           0,           0,       42.76,     1494.28,      818.73,           0,     1405.22,     1356.41,      155.56,      440.59,       26.81,       13.91,       35.41,      135.18,       32.32,        9.85,       42.92,        3.70,       55.59,      314.62,       13.79,        9.33,       21.35,       46.13,       38.71,      168.90,       31.64,       14.65,       50.95,           0,           0,           0,           0,           0,           0
         1,         6,        7.56,        0.06,           0,        2.02,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        5.29,        0.04,           0,           0,           0,           0,        2.02,        0.15,           0,        2.02,        0.06,           0,        0.04,           0,        5.29,           0,           0,           0,           0,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.06,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     2807.43,      864.34,       14.79,      860.87,       14.26,       29.35,       24.00,      368.61,      318.55,           0,           0,           0,      195.28,      109.49,        9.78,           0,           0,       43.61,      875.65,      686.71,           0,      860.87,      996.63,      134.24,      393.18,       24.99,        0.85,       25.04,      108.23,       22.52,        6.89,       31.76,        0.09,        9.20,       85.96,        1.33,        1.55,       11.36,        2.81,        0.67,        4.78,        0.62,        0.22,        0.68,           0,           0,           0,           0,           0,           0
         1,         9,      650.17,      163.51,       15.42,      210.71,        1.74,        1.84,           0,       75.30,       72.34,           0,           0,           0,       63.00,       41.92,        4.56,           0,           0,        3.58,      226.11,      147.61,           0,      210.71,      184.49,       20.73,       77.49,        2.21,           0,        5.99,       36.37,        9.80,        2.63,        8.21,        0.01,        3.03,       32.43,        0.12,        0.71,        5.62,        0.25,        0.20,        3.53,        0.15,        0.07,        0.36,           0,           0,           0,           0,           0,           0
         1,        10,        0.53,           0,           0,        0.52,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.52,        0.01,           0,        0.52,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
