TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,68.5,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,203.1,140.0,126.3,57.8,5.0,8.5,20.5,0.1,13.1,0.0,73.5,49.5,5.3,0.0,5.4,0.0,2.0,2.0,6.5,6.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.5
3,30003,3,1,1,272.4,155.3,204.1,85.8,10.5,13.5,30.7,0.0,21.3,0.0,119.7,72.5,9.2,0.0,9.4,0.0,3.3,3.2,10.5,9.9,0.0,0.0,0.0,0.0,10.5,0.0,0.0,13.5
4,30004,3,1,1,59.6,55.4,6.8,3.2,0.6,0.6,1.1,0.0,0.8,0.0,4.1,2.9,0.3,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6
5,30005,3,1,1,729.8,376.9,614.7,254.0,23.6,40.2,95.7,4.8,61.5,0.0,350.5,210.2,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.3,3.0,0.0,0.0,0.0,23.6,0.0,0.0,40.2
6,30006,3,1,1,88.3,93.3,25.6,28.6,1.4,4.8,3.4,8.5,2.6,0.0,14.8,17.7,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,4.8
7,30007,3,1,1,473.2,373.1,350.9,238.1,17.7,37.9,50.6,35.5,34.9,8.4,196.4,158.8,15.6,0.0,15.8,0.0,12.6,12.1,25.0,23.2,0.0,0.0,0.0,0.0,17.7,0.0,0.0,37.9
8,30008,3,1,2,724.3,528.9,593.3,377.1,39.3,68.0,73.8,40.8,47.8,69.9,274.9,172.9,24.5,0.0,25.1,0.0,21.2,19.8,77.0,73.7,48.0,0.0,1.0,0.0,39.3,0.0,0.0,68.0
9,30009,3,1,1,357.0,504.8,142.2,273.4,18.2,40.5,19.0,98.6,13.0,0.0,74.5,151.8,5.7,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,18.2,0.0,0.0,40.5
10,30010,3,1,1,433.7,553.1,203.9,309.3,22.4,46.5,27.8,102.6,19.5,0.0,109.8,179.0,8.4,0.0,8.6,0.0,18.4,17.5,10.4,10.1,0.0,0.0,1.0,0.0,22.4,0.0,0.0,46.5
