Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4975.81,        1339.31,       17495.60,        3021.21,        1086.61,        9496.61,       13482.91,              0,              0,              0,              0,           0.25,              0,              0,              0,       63663.64,         869.77,        1770.65,         448.37,         243.30,         970.18,          92.58,        1010.79,        2233.99,          81.91,          49.50,         199.58,          68.89,          15.32,         407.20,          18.29,          18.16,          73.62
         3,       13584.32,       11577.53,      168683.62,       30239.36,       10512.43,       27022.04,       51628.85,              0,              0,              0,              0,              0,              0,              0,              0,       91124.53,        1539.45,        3678.85,         725.74,         346.73,        1975.17,         183.00,        3419.67,        5012.50,         238.01,         103.89,         469.86,         205.63,          90.63,         843.04,          68.57,          64.82,         239.62
         4,       21558.30,       21910.00,      177125.52,       23233.63,       10300.14,       24433.74,       80842.68,           0.06,              0,              0,              0,           8.02,              0,           0.01,              0,       64430.50,        2399.55,        5531.78,        1119.64,         580.24,        2575.06,         322.09,        3800.72,        3971.46,         169.77,          36.43,         325.09,         132.74,         104.11,         346.25,          29.94,          26.29,         106.51
         5,       30961.59,       42367.13,      304711.74,       53880.81,       25219.62,       28736.14,       90430.48,           0.39,              0,           0.25,           0.07,          24.36,              0,           0.28,           0.22,       42564.17,        2256.59,        5671.90,        1033.65,         490.96,        2581.21,         165.28,        3014.63,        4285.00,         135.46,          47.52,         322.83,          75.93,          93.95,         303.15,          21.45,          19.11,          93.76
         6,       37529.62,       52714.54,      302139.42,       50466.03,       27481.83,       30935.39,       98231.69,           1.30,              0,           0.25,              0,          51.78,              0,           0.43,           0.13,       10864.98,        2492.08,        6299.11,        1156.96,         549.45,        2729.28,          84.76,        2490.93,        6365.64,         150.92,          84.23,         514.25,          46.13,         128.47,         496.71,          29.62,          24.47,         121.47
         7,       49224.56,       70530.95,      327084.35,       39284.42,       26251.86,       43805.31,      132593.66,           0.35,              0,           1.59,           0.44,          24.08,              0,           0.89,           0.57,       10074.66,        3406.02,        8823.86,        1572.38,         792.45,        3563.82,         122.91,        3421.17,        6376.46,         187.13,          75.04,         518.05,          67.59,         109.63,         550.40,          41.85,          28.28,         117.59
         8,       49872.54,       71617.55,      312847.88,       22236.35,       24048.17,       42442.37,      119994.94,           5.94,              0,           1.24,           0.43,          86.17,              0,           1.81,           0.60,        7519.37,        3350.02,        8534.24,        1511.28,         723.17,        3401.89,         146.05,        3573.32,        5521.19,         200.18,          67.67,         433.03,          62.65,          50.89,         440.73,          33.79,          20.50,          80.84
         9,       47994.23,       71215.09,      301095.15,       16579.68,       27007.36,       36825.21,      106008.61,          51.26,              0,           5.93,           1.89,         243.99,              0,           6.40,           2.27,        6678.58,        2910.33,        7819.01,        1422.35,         672.89,        3153.03,         172.89,        4140.61,        5311.90,         243.10,          63.31,         412.37,          86.14,          69.98,         445.31,          49.71,          30.64,         107.89
        10,       47810.20,       65383.95,      277970.26,       14439.96,       28664.04,       34712.74,       95345.70,         234.36,              0,           8.35,           1.97,         304.90,              0,          15.60,           4.36,        6498.69,        2775.35,        7598.82,        1405.53,         629.97,        3064.22,         190.19,        4178.15,        4686.72,         251.55,          55.27,         356.33,          76.33,          54.16,         369.72,          35.95,          22.39,          81.83
        11,       49635.97,       63647.70,      248593.55,       16414.33,       31424.52,       38768.75,       97585.71,         196.46,              0,           7.17,           1.28,         261.10,              0,          12.70,           2.49,        6268.08,        3081.40,        8028.42,        1467.89,         683.95,        3131.77,         185.77,        4350.37,        4435.47,         225.79,          50.58,         319.98,          85.08,          60.36,         391.23,          44.01,          27.49,          94.09
        12,       49990.76,       57073.52,      224255.96,       15517.57,       28957.44,       36792.02,       87792.49,         684.19,              0,          50.04,           3.91,         654.35,              0,          54.62,           5.29,        5574.02,        2653.61,        7415.31,        1349.65,         620.01,        2846.44,         146.31,        4098.39,        4343.97,         229.12,          57.84,         324.65,          81.22,          48.61,         355.41,          34.29,          21.88,          75.86
        13,       45903.97,       48418.22,      201968.24,       13257.98,       19069.00,       27567.04,       66873.01,         591.22,              0,         119.94,           8.93,         375.97,              0,         134.52,          10.55,        5097.79,        2601.81,        6804.83,        1307.45,         535.41,        2677.27,         141.05,        4255.60,        4293.67,         246.28,          54.59,         316.56,          90.76,          50.29,         374.84,          37.27,          23.34,          83.43
        14,       45701.37,       42392.81,      177041.05,       10758.21,       12182.05,       21709.86,       54159.02,        1031.33,              0,          52.94,           5.41,         806.29,              0,          63.56,           7.46,        4788.30,        2285.05,        6141.33,        1238.02,         505.70,        2470.77,         126.02,        4004.27,        3893.99,         232.46,          48.57,         285.15,          89.42,          48.03,         360.76,          33.19,          21.20,          77.85
        15,       46270.15,       35983.96,      162433.23,        6483.40,       10700.87,       33720.38,       68781.81,         991.71,              0,          58.45,           2.51,        1122.14,              0,          73.94,           7.03,        4169.47,        2175.22,        5963.98,        1136.78,         473.95,        2297.14,         132.02,        4062.65,        3575.40,         244.68,          55.94,         271.56,          88.87,          39.21,         302.87,          29.73,          18.98,          72.50
