Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       94271.65,      126812.17,      826326.00,      115572.67,       50358.21,      158902.56,      419201.30,              0,              0,              0,              0,           0.26,              0,              0,              0,      270066.62,       10236.80,       23706.75,        4746.47,        2740.51,       11070.47,        1043.45,       17335.34,       23932.56,         918.10,         322.52,        2123.22,        1355.53,         813.67,        6309.16,         365.07,         330.95,        1463.15
         1,      150976.60,      232794.18,     1116848.12,      117773.50,       92709.94,      135949.55,      376819.18,           1.26,              0,           0.30,           0.07,          39.32,              0,           0.54,           0.37,       47721.89,       10150.70,       25641.89,        4441.99,        2075.33,       10451.64,         531.87,       13800.72,       19739.78,         709.93,         203.95,        1553.28,         621.26,         550.80,        3399.15,         271.69,         189.92,         789.56
         2,      138472.70,      178652.27,      761628.79,       48094.33,       84987.79,      100300.69,      251558.52,          13.28,              0,           5.06,           2.55,         159.54,              0,           4.97,           3.37,       16858.27,        7867.61,       20945.42,        3712.73,        1663.97,        8277.68,         414.81,       11978.31,       14528.91,         684.83,         167.94,        1139.21,         636.85,         344.30,        2790.86,         247.06,         165.21,         616.03
         3,      123342.67,      116678.66,      517679.85,       30581.21,       48853.20,       70196.35,      162415.14,         647.58,              0,          29.60,           2.83,         600.70,              0,          54.98,           5.79,       12347.75,        6252.29,       17082.11,        3224.15,        1316.32,        6712.78,         348.06,       10662.15,       11040.22,         629.87,         138.94,         867.64,         631.10,         257.43,        2149.95,         196.94,         132.20,         492.53
         4,      111288.75,       73475.38,      349049.31,       11306.58,       26518.39,       55150.31,      113236.92,        1347.26,              0,         124.09,          11.83,        1183.88,              0,         158.00,          15.69,        9500.40,        4727.22,       13128.22,        2643.75,        1002.17,        5191.31,         269.33,        9122.48,        8516.74,         543.23,         110.30,         675.42,         552.65,         193.77,        1609.78,         143.68,          97.58,         369.85
         5,      101968.52,       45761.33,      249022.64,        6134.12,       16658.25,       42708.45,       80702.77,        1674.77,              0,         203.12,          13.80,        2320.43,              0,         222.45,          22.31,        7098.88,        3561.97,       10077.58,        2085.76,         757.24,        3983.20,         200.09,        7654.85,        6288.83,         452.85,          75.58,         480.12,         458.64,         144.32,        1141.17,          98.97,          65.96,         256.10
         6,       94287.02,       28363.67,      183360.50,        3808.08,        9153.35,       32877.08,       57910.38,        2075.02,              0,         109.49,          23.79,        2781.20,              0,         118.08,          27.55,        5269.22,        2681.20,        7710.21,        1634.35,         568.99,        3063.90,         159.05,        6174.62,        4570.10,         359.16,          49.07,         331.01,         343.86,          90.98,         733.61,          56.10,          37.16,         159.36
         7,       84854.85,       19530.55,      139917.10,        2629.21,        5846.10,       27462.63,       44845.48,        3172.94,              0,         166.97,          30.99,        7531.64,              0,         212.96,          46.22,        4089.47,        2176.03,        6294.33,        1381.10,         478.08,        2518.06,         147.96,        5493.21,        3678.46,         321.84,          41.11,         264.45,         325.03,          81.44,         589.43,          51.70,          34.61,         139.01
         8,       76083.03,       13436.18,      108821.06,        1908.68,        3773.93,       23085.03,       36134.66,        2182.14,              0,         208.21,          44.31,       10195.79,              0,         283.01,          65.47,        3109.40,        1756.47,        5242.06,        1185.75,         403.04,        2089.81,         123.49,        4629.71,        2954.04,         266.65,          29.79,         214.01,         259.01,          57.29,         388.51,          35.87,          23.14,          88.09
         9,       68161.41,        9761.01,       90845.72,        1377.70,        2453.49,       20283.65,       29424.58,        1785.72,              0,         183.66,          67.17,        8443.97,              0,         225.68,          87.86,        2374.38,        1459.80,        4468.93,        1032.75,         362.24,        1794.24,         122.47,        4096.71,        2494.77,         240.63,          23.16,         176.89,         201.04,          47.17,         306.57,          29.49,          19.31,          68.39
