TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,215.8,152.8,126.4,57.5,7.6,11.4,20.5,0.1,13.2,0.0,73.5,49.3,5.3,0.0,5.4,0.0,2.0,2.1,6.4,6.1,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.4
3,30003,3,1,1,284.2,167.9,204.4,84.7,14.6,19.1,30.8,0.1,21.4,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.4,3.3,10.6,9.9,0.0,0.0,0.0,0.0,14.6,0.0,0.0,19.1
4,30004,3,1,1,67.7,63.7,6.8,3.2,0.8,0.9,1.1,0.0,0.8,0.0,4.2,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9
5,30005,3,1,1,752.3,398.0,616.2,252.4,35.0,54.4,95.9,4.9,61.6,0.0,350.4,208.8,31.1,0.0,31.6,0.0,11.7,10.8,29.8,28.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,54.4
6,30006,3,1,1,99.1,105.0,25.7,28.3,2.0,6.7,3.4,8.5,2.6,0.0,14.9,17.4,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.7
7,30007,3,1,1,500.8,406.2,351.4,235.5,25.0,53.5,50.7,35.7,35.1,8.4,196.5,156.0,15.5,0.0,15.8,0.0,12.6,12.2,25.1,23.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,53.5
8,30008,3,1,2,752.7,572.3,593.9,378.1,49.8,95.2,74.0,40.9,47.9,70.1,274.9,173.4,24.6,0.0,25.1,0.0,21.3,20.0,77.2,73.7,48.0,0.0,1.0,0.0,49.8,0.0,0.0,95.2
9,30009,3,1,1,417.0,567.4,142.5,272.4,31.6,57.3,19.1,98.6,13.1,0.0,74.5,150.8,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,31.6,0.0,0.0,57.3
10,30010,3,1,1,504.1,618.2,204.4,309.0,44.4,64.9,27.8,102.8,19.5,0.0,110.0,178.5,8.4,0.0,8.6,0.0,18.6,17.6,10.5,10.2,0.0,0.0,1.0,0.0,44.4,0.0,0.0,64.9
11,30011,3,1,1,198.7,129.7,70.5,28.5,17.1,6.1,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.9,2.8,2.8,0.0,0.0,0.0,0.0,17.1,0.0,0.0,6.1
12,30012,3,1,1,294.5,193.3,160.0,68.6,21.3,16.1,27.1,0.2,16.1,0.0,91.5,58.8,7.8,0.0,7.9,0.0,2.3,2.3,7.3,7.2,0.0,0.0,0.0,0.0,21.3,0.0,0.0,16.1
13,30013,3,1,2,109.3,109.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.4,110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,576.5,1252.8,65.3,617.9,1.7,144.2,1.3,367.5,1.0,0.0,5.1,196.9,0.4,0.0,0.5,0.0,55.4,51.8,1.6,1.7,0.0,0.0,0.0,0.0,1.7,0.0,0.0,144.2
16,30016,3,1,2,277.6,555.4,23.2,252.1,2.5,57.7,1.2,99.5,1.0,0.0,4.8,138.2,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,57.7
17,30017,3,1,1,145.8,123.4,29.5,11.8,6.5,2.6,4.7,0.0,3.1,0.0,17.2,10.3,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,6.5,0.0,0.0,2.6
18,30018,3,1,1,1270.1,2936.0,172.5,1523.6,0.0,341.0,0.0,1108.1,0.0,0.0,1.0,258.3,0.0,0.0,0.0,0.0,168.4,154.9,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,341.0
19,30019,3,1,2,3176.2,1607.5,2452.9,1142.0,528.0,263.6,372.5,18.4,230.9,61.5,1373.1,854.2,126.5,0.0,129.2,0.0,57.1,52.9,161.6,154.9,0.0,0.0,2.0,0.0,528.0,0.0,0.0,263.6
