TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
                    BRT Drive,        72,   0.01,   5.08,      1112,   0.99,  26.17,         4,   0.00,   0.63,         0,   0.00,   0.15,-,-,-,      1189,   0.03,  18.40
            4) Express Bus (EXP),       450,   0.05,   2.16,       196,   0.17,   1.06,        48,   0.00,   0.55,        14,   0.00,   0.78,-,-,-,       708,   0.02,   1.42,
                    EXP Walk,       194,   0.02,  43.16,        67,   0.06,  33.92,        44,   0.00,  91.14,        14,   0.00,  99.99,-,-,-,       318,   0.01,  44.97,
                    EXP Drive,       256,   0.03,  56.84,       130,   0.12,  66.08,         4,   0.00,   8.86,         0,   0.00,   0.01,-,-,-,       390,   0.01,  55.03
            4) Light-Rail Transit (LRT),      6890,   0.78,  33.10,      3988,   3.54,  21.60,      3844,   0.20,  43.87,       724,   0.08,  41.62,-,-,-,     15446,   0.36,  31.03,
                    LRT Walk,      5512,   0.62,  80.00,      2789,   2.48,  69.94,      3403,   0.17,  88.51,       687,   0.08,  94.94,-,-,-,     12391,   0.29,  80.22,
                    LRT Drive,      1378,   0.16,  20.00,      1199,   1.07,  30.06,       442,   0.02,  11.49,        37,   0.00,   5.06,-,-,-,      3055,   0.07,  19.78
            4) Commuter-Rail Transit (CRT),      3979,   0.45,  19.11,      3259,   2.90,  17.65,       992,   0.05,  11.32,       188,   0.02,  10.79,-,-,-,      8418,   0.20,  16.91,
                    CRT Walk,      1295,   0.15,  32.55,       938,   0.83,  28.78,       408,   0.02,  41.11,       137,   0.02,  72.77,-,-,-,      2778,   0.07,  33.00,
                    CRT Drive,      2684,   0.30,  67.45,      2321,   2.06,  71.22,       584,   0.03,  58.89,        51,   0.01,  27.23,-,-,-,      5641,   0.13,  67.00,
  
   Model: v10x,
   Scenario: C58,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Peak Period,
   Shares\RegionShares_Pk.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
