I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   126083.71,    11065.44,     9722.02,    49990.44,     4142.03,     4111.58,           0,     7225.67,    17206.78,           0,           0,           0,    13671.19,     7597.25,     1352.46,           0,           0,     8253.61,    59712.15,    24432.64,           0,    49990.44,    12291.45,     1226.73,     7698.54,      472.57,    11015.36,      506.65,     1284.64,      235.83,       97.59,      531.14,       78.85,     1022.16,     5749.85,      170.52,      116.84,      459.05,      151.84,      108.49,      785.70,       61.70,       43.47,      201.26,           0,           0,           0,           0,           0,           0
         1,         2,      939.86,       69.36,        5.33,      386.55,           0,           0,           0,       83.82,      161.61,           0,           0,           0,      158.83,       69.70,        5.07,           0,           0,           0,      391.85,      245.38,           0,      386.55,       76.64,        7.34,       87.19,        3.41,      125.51,        6.27,       17.70,        2.21,        0.73,        6.42,        0.22,        4.24,       60.73,        1.02,        0.73,        2.76,        0.64,        0.25,        3.42,        0.14,        0.05,        0.57,           0,           0,           0,           0,           0,           0
         1,         3,        0.48,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.48,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.48,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9360.30,     1855.27,      443.75,     3494.41,      240.01,      340.43,           0,      638.04,      891.17,           0,           0,           0,      367.85,      907.04,      182.86,           0,           0,      580.43,     3938.16,     1529.15,           0,     3494.41,     2068.50,      213.12,      668.60,       30.15,      123.94,       33.64,      138.33,       22.86,        6.11,       42.97,        5.44,      116.26,      689.91,       30.09,       19.14,       46.22,       28.51,       21.32,       76.20,       18.68,        9.60,       28.55,           0,           0,           0,           0,           0,           0
         1,         5,     4716.89,     1237.93,       85.78,     1429.31,       14.71,       25.68,      217.00,      416.01,      412.38,           0,           0,           0,      157.46,      604.45,      118.58,           0,           0,       40.39,     1514.99,      827.95,           0,     1429.31,     1396.86,      160.31,      442.97,       26.94,        8.59,       19.86,       83.04,       16.96,        5.42,       23.59,        6.19,       81.71,      445.43,       22.22,       14.75,       34.16,       15.46,       11.84,       61.95,        9.67,        3.77,       15.90,           0,           0,           0,           0,           0,           0
         1,         6,        6.61,        0.07,           0,        2.06,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        4.27,        0.06,           0,           0,           0,           0,        2.06,        0.15,           0,        2.06,        0.07,           0,        0.04,           0,        4.27,           0,           0,           0,           0,           0,           0,           0,        0.06,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.10,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     2808.58,      910.54,       13.30,      874.16,       12.91,       26.97,       24.00,      380.11,      328.91,           0,           0,           0,      184.59,       46.39,        7.63,           0,           0,       39.88,      887.46,      708.79,           0,      874.16,     1051.55,      141.80,      405.84,       25.96,        1.39,       23.30,      103.25,       20.47,        6.28,       29.90,           0,        3.25,       37.75,        0.26,        0.31,        4.82,        2.29,        0.56,        3.53,        0.56,        0.19,        0.50,           0,           0,           0,           0,           0,           0
         1,         9,      619.54,      163.26,       13.85,      209.97,        1.78,        1.89,           0,       76.45,       73.86,           0,           0,           0,       59.21,       15.96,        3.37,           0,           0,        3.67,      223.81,      150.30,           0,      209.97,      184.24,       20.60,       78.67,        2.27,           0,        5.90,       34.47,        8.76,        2.37,        7.71,           0,        0.87,       12.67,           0,        0.10,        2.32,        0.25,        0.18,        2.50,        0.12,        0.07,        0.25,           0,           0,           0,           0,           0,           0
         1,        10,        0.52,           0,           0,        0.51,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.51,        0.01,           0,        0.51,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
