Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       10339.50,        5936.07,       86175.52,       17400.26,        5836.87,       25805.71,       42580.91,              0,              0,              0,              0,           0.01,              0,              0,              0,      102571.88,        1379.54,        3001.44,         701.45,         352.67,        1623.89,         182.94,        2549.01,        5200.56,         201.90,         110.55,         483.02,         153.93,          55.85,         941.67,          54.04,          51.61,         194.37
         3,       16502.16,       17107.86,      206973.03,       32639.32,       12783.41,       19329.19,       48099.98,           0.41,              0,           0.25,           0.03,          20.81,              0,           0.29,           0.03,       70704.81,        1585.33,        3950.71,         760.76,         407.72,        2079.74,         198.77,        3726.77,        3424.57,         227.16,          61.19,         297.41,         208.73,          88.06,         381.14,          48.58,          46.37,         179.06
         4,       39073.29,       58195.96,      419982.36,       72182.00,       35310.08,       40836.84,      140447.22,           1.34,              0,           1.84,           0.04,          63.35,              0,           1.32,           0.42,       77804.15,        3145.19,        7464.68,        1434.95,         656.94,        3363.56,         335.59,        4024.76,        6607.75,         164.11,          60.23,         501.35,         109.09,         149.95,         516.92,          33.95,          28.82,         127.95
         5,       45256.44,       73212.48,      416730.77,       60566.54,       38214.19,       41156.09,      122415.36,          29.19,              0,           3.67,           2.02,         199.12,              0,           3.85,           0.47,       19033.94,        2796.85,        6963.41,        1245.08,         570.96,        3081.39,         117.35,        3280.72,        7129.30,         182.25,          92.22,         559.48,          56.05,         146.24,         547.90,          36.61,          30.06,         138.44
         6,       65055.37,      103244.77,      462618.91,       38581.06,       35893.42,       60047.90,      180429.70,         224.79,              0,          47.74,           2.36,         447.71,              0,          55.79,           6.10,       12472.28,        3931.10,       10155.01,        1827.62,         871.00,        4142.64,         160.28,        4245.63,        8304.00,         238.32,          97.84,         679.05,          83.50,         117.73,         671.63,          48.49,          31.78,         139.56
         7,       69264.41,      105081.32,      449968.93,       26781.96,       43950.47,       59702.00,      167167.87,         481.09,              0,          60.26,           4.74,         561.82,              0,          64.31,           7.24,        9789.51,        4381.30,       11219.38,        1986.75,         989.52,        4486.54,         223.24,        5521.07,        8107.18,         316.41,         101.89,         643.49,         112.29,          94.81,         653.30,          65.71,          39.98,         142.53
         8,       67975.13,      100963.66,      393742.22,       24884.96,       48098.34,       52396.01,      141756.11,        1753.17,              0,         122.75,          11.23,        1098.01,              0,         160.14,          13.70,        8561.96,        3649.34,        9814.87,        1812.22,         808.44,        3987.82,         248.53,        5700.74,        6959.74,         341.10,          82.70,         530.13,         115.79,          83.91,         585.27,          56.78,          35.74,         132.65
         9,       71628.38,       89673.08,      340618.11,       22308.21,       36176.40,       52527.27,      131890.86,        2053.43,              0,         137.16,           9.92,        2393.24,              0,         158.10,          17.88,        8574.02,        3723.65,       10487.57,        1914.91,         879.45,        4090.90,         217.18,        5885.08,        6493.86,         332.79,          83.81,         490.18,         114.95,          77.51,         543.40,          55.57,          34.07,         118.36
