Bin,FREQ_Obs
0,2.7972065589829375e-113
2,0.05016756782322418
4,0.10130285990387441
6,0.138023280543612
8,0.13972014106824018
10,0.11937141619094561
12,0.0940787569199765
14,0.07191055880694154
16,0.05477205777080927
18,0.04214318084105826
20,0.0329447908082993
22,0.026196343756355024
24,0.021161875220214458
26,0.017328129225270016
28,0.014346996710545304
30,0.011983494487574815
32,0.010077636636093977
34,0.00851868025249515
36,0.007228336960327734
38,0.0061499709830306155
40,0.005241649784393276
42,0.00447163642488009
44,0.003815424947301455
46,0.0032537557451440017
48,0.0027712598586706067
50,0.0023555127522348544
52,0.001996359331676266
54,0.0016854221092742541
56,0.0014157355686075434
58,0.001181469302369111
60,0.0009777148773847232
62,0.0008003193448134866
64,0.0006457535168876998
66,0.0005110065894347206
68,0.00039350102853506904
70,0.0002910232509707399
72,0.00020166675836955707
74,0.00012378519193338993
76,5.595336065824222e-05
78,2.149645118595206e-05
80,2.0051199482824656e-05
82,1.8723543301016216e-05
84,1.7502220301043334e-05
86,1.6377211151516325e-05
88,1.533958385096501e-05
90,1.4381359949575597e-05
92,1.3495399229438036e-05
94,1.2675300005123831e-05
96,1.1915312691483038e-05
98,1.1210264678544221e-05
100,1.0555494873634103e-05
102,9.946796533275979e-06
104,9.380367223605204e-06
106,8.85276492690739e-06
108,8.360869460597118e-06
110,7.901848498955175e-06
112,7.47312759189721e-06
114,7.072363662252214e-06
116,6.697421536700475e-06
118,6.346353127687647e-06
120,6.017378936412189e-06
122,5.708871591844415e-06
124,5.419341178933493e-06
126,5.147422141894287e-06
128,4.891861576356368e-06
130,4.651508748262824e-06
132,4.4253056980024165e-06
134,4.212278806085569e-06
136,4.011531212060193e-06
138,3.822235991659495e-06
140,3.643630008722464e-06
142,3.4750083684456834e-06
144,3.315719407230657e-06
146,3.1651601619998123e-06
148,3.0227722685095736e-06
150,2.888038243918959e-06
152,2.760478114053978e-06
154,2.6396463501400682e-06
156,2.525129083813182e-06
158,2.4165415725490515e-06
160,2.3135258907659694e-06
162,2.215748824465502e-06
164,2.1228999496988333e-06
166,2.0346898771629994e-06
168,1.9508486471686125e-06
170,1.8711242607642682e-06
172,1.7952813343360712e-06
174,1.7230998662493701e-06
176,1.6543741052912965e-06
178,1.588911511626409e-06
180,1.5265318019938426e-06
182,1.4670660716032807e-06
184,1.4103559859471912e-06
186,1.356253036432813e-06
188,1.30461785426492e-06
190,1.2553195775815345e-06
192,1.2082352672769337e-06
194,1.163249367422026e-06
196,1.1202532065053805e-06
198,1.0791445361191646e-06
200,1.0398271039904923e-06
202,1.0022102585470612e-06
204,9.662085824557454e-07
206,9.317415527995019e-07
208,8.987332257632392e-07
210,8.671119438846868e-07
212,8.368100640945788e-07
214,8.0776370492269e-07
216,7.799125113845511e-07
218,7.531994361891209e-07
220,7.27570536021673e-07
222,7.029747817598801e-07
224,6.793638815753034e-07
226,6.566921159584945e-07
228,6.349161837841e-07
230,6.139950586037749e-07
232,5.938898544198664e-07
234,5.745637002522656e-07
236,5.559816228652326e-07
238,5.38110437070658e-07
240,5.209186430697564e-07
242,5.043763303367935e-07
244,4.884550875866406e-07
246,4.731279184029008e-07
248,4.5836916213546315e-07
250,4.44154419705826e-07
252,4.3046048398550484e-07
254,4.1726527443783063e-07
256,0.0
258,0.0
260,0.0
262,0.0
264,0.0
266,0.0
268,0.0
270,0.0
272,0.0
274,0.0
276,0.0
278,0.0
280,0.0
282,0.0
284,0.0
286,0.0
288,0.0
290,0.0
292,0.0
294,0.0
296,0.0
298,0.0
300,0.0
302,0.0
304,0.0
306,0.0
308,0.0
310,0.0
312,0.0
314,0.0
316,0.0
318,0.0
320,0.0
322,0.0
324,0.0
326,0.0
328,0.0
330,0.0
332,0.0
334,0.0
336,0.0
338,0.0
340,0.0
342,0.0
344,0.0
346,0.0
348,0.0
350,0.0
352,0.0
354,0.0
356,0.0
358,0.0
360,0.0
362,0.0
364,0.0
366,0.0
368,0.0
370,0.0
372,0.0
374,0.0
376,0.0
378,0.0
380,0.0
382,0.0
384,0.0
386,0.0
388,0.0
390,0.0
392,0.0
394,0.0
396,0.0
398,0.0
400,0.0
