Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX_LT,IX_MD,IX_HV,XI_LT,XI_MD,XI_HV
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       11656.70,        3460.80,      120445.53,       24675.29,        4939.14,       15729.84,       46470.86,       60156.82,        3722.62,        1241.59,              0,              0,              0,              0,              0,              0
         3,        8547.12,       17144.03,      166522.49,       29229.56,       12410.21,       15136.24,       38676.54,       43685.51,        2705.96,        1108.13,              0,              0,              0,              0,              0,              0
         4,       40494.06,       52450.01,      359143.45,       64264.73,       29677.49,       37077.86,      140160.90,       71345.34,        6699.76,        3430.28,              0,              0,              0,              0,              0,              0
         5,       42074.27,       69220.31,      399341.78,       49957.72,       35845.61,       45223.44,      140637.41,       30482.35,        2990.38,        1277.18,          68.13,           9.36,           3.04,          56.25,           2.79,           3.23
         6,       78624.30,      108186.90,      479311.22,       37603.81,       34101.91,       56262.10,      171374.03,       26368.27,        2573.77,         334.33,          37.12,           9.64,           8.02,          28.89,           9.46,           2.44
         7,       51606.75,      102933.78,      416854.19,       34985.67,       32446.81,       61717.76,      153045.43,       36407.53,        3453.10,         418.89,         257.14,           0.84,           4.89,         260.22,           1.78,           4.70
         8,       73011.73,      104006.67,      397972.90,       25582.13,       43759.12,       49437.26,      122104.94,       44774.64,        4502.25,         879.75,         146.95,          98.81,         233.57,         133.71,          80.17,         259.28
         9,       55012.34,       75130.29,      322562.22,       17678.67,       36050.52,       49562.53,      119106.89,       36816.03,        5985.86,        1127.48,         102.92,          42.53,           1.97,          77.70,          36.92,           3.42
        10,       71286.94,       78690.88,      270224.09,       18243.85,       19186.02,       46676.21,      110212.02,       42610.93,        6011.70,        1202.65,         360.18,           5.51,           4.61,         273.98,           5.68,           7.45
