Bin,HBOth,HBSch_Pr,HBSch_Sc,HBShp,HBW,HV,IX_HV,IX_LT,IX_MD,LT,MD,NHBNW,NHBW,XI_HV,XI_LT,XI_MD
33,0.000656823,0,0,0.000124769,0.003822961,0.006015944,0.000953241,0.011760905,0.005452744,0.002483156,0.003882078,0.000385205,0.002515357,0.001415127,0.006071099,0.004802863
34,0.00117039,0,0,6.19E-05,0.005472193,0.006022725,0.003870302,0.007063709,0.006623258,0.002700599,0.003615254,0.001024844,0.000926306,0.004345177,0.008855241,0.007265284
35,0.000738764,0,0,0,0.002569679,0.005593868,0.002551532,0.020992275,0.010277736,0.002396886,0.003368053,0.000910295,0.003059132,0.004988119,0.02224514,0.009861117
36,0.000270766,0,0,1.17E-05,0.002393206,0.005875433,0.012521143,0.019571651,0.009470352,0.002386652,0.003278112,0.001396781,0.002492407,0.009132069,0.017915224,0.00910257
37,0.000716916,0,0,4.69E-05,0.002567248,0.005772897,0.006392369,0.009632059,0.004127706,0.00236378,0.003862,0.00102445,0.001631654,0.004465421,0.011231066,0.004551285
38,0.000204225,0,0,0,0.002273209,0.004812104,0.002162909,0.009836285,0.004199173,0.002200222,0.003156738,0.000371451,0.003172571,0.002698557,0.010287269,0.004263494
39,0.001002263,0,0,0.000257159,0.001948525,0.005819282,0.004090893,0.007631003,0.005128245,0.001871503,0.00334316,0.000924073,0.002063538,0.004851514,0.009532465,0.004492202
40,0.000631703,0,0,0,0.002009283,0.005298197,0.002546754,0.010700961,0.006366363,0.001708503,0.002898908,0.000140864,0.00267075,0.002359091,0.011349478,0.00611031
41,0.000380325,0,0,0,0.002898938,0.005050268,0.001837995,0.004971886,0.004160542,0.001635496,0.002761634,0.00060527,0.000938467,0.004031067,0.006037267,0.003445864
42,0.000164782,0,0,0,0.000538288,0.005814671,0.001534583,0.005867614,0.004467657,0.001550911,0.002984487,6.52E-05,0.001582965,0.001384861,0.006314339,0.004053845
43,0.000167795,0,0,0,0.000492665,0.004923591,0.003036515,0.006373999,0.005746338,0.001437474,0.002335552,0.00019926,0.000197086,0.001765228,0.006297423,0.005915908
44,0.000584629,0,0,3.31E-05,0.001053902,0.004822412,0.0019025,0.00925645,0.006561449,0.001542702,0.002521792,0.000194897,0.000485158,0.00135705,0.008460923,0.005546164
45,0.000313681,0.000514994,0,0.001486259,0.000284987,0.004803424,0.000965983,0.005201192,0.003801275,0.001336295,0.002714302,0.000201056,0.000568438,0.001041305,0.004637904,0.004130081
46,0.000284713,0,0,0,0.000583391,0.004196621,0.000721501,0.00601511,0.005236411,0.001017279,0.001701697,0.000179874,0.001283453,0.000970139,0.004685735,0.004536038
47,0.000428539,0,0,0,0.001298111,0.003931603,0.001254264,0.005972115,0.004768978,0.000938021,0.001746213,0.000272487,0.000621796,0.000989771,0.003636359,0.003524006
