I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,TOT
    1,    1,  10840.86,         0,   8253.78,  59720.27,  24437.22,         0,         0,         0,  15772.87,   5594.50,   4179.99,         0,         0, 128799.49
    1,    2,     46.03,         0,         0,    391.84,    245.40,         0,         0,         0,    183.28,     50.47,     17.05,         0,         0,    934.07
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.54,         0,         0,         0,         0,      0.54
    1,    4,   1967.31,         0,    580.53,   3938.43,   1529.52,         0,         0,         0,    444.73,    595.98,    530.11,         0,         0,   9586.61
    1,    5,   1249.67,    217.00,     40.43,   1514.75,    828.04,         0,         0,         0,    194.71,    395.65,    353.68,         0,         0,   4793.93
    1,    6,      0.02,         0,         0,      2.06,      0.15,         0,         0,         0,      4.95,      0.02,         0,         0,         0,      7.20
    1,    7,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.10
    1,    8,   1000.81,     24.00,     39.88,    886.74,    708.45,         0,         0,         0,    211.47,    132.77,     19.34,         0,         0,   3023.46
    1,    9,    222.45,         0,      3.64,    223.56,    150.40,         0,         0,         0,     69.38,     52.09,     10.17,         0,         0,    731.69
    1,   10,         0,         0,         0,      0.51,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.52
    1,   11,     87.84,         0,         0,     70.70,     10.46,         0,         0,         0,     15.65,     28.57,     15.04,         0,         0,    228.26
    1,   12,    287.52,      9.00,      0.09,    461.74,     74.28,         0,         0,         0,     70.56,    117.93,     56.82,         0,         0,   1077.94
    1,   13,    110.26,      2.00,         0,    183.36,     40.05,         0,         0,         0,     21.82,     22.52,      5.86,         0,         0,    385.87
    1,   14,    269.86,      7.00,         0,    429.11,     97.93,         0,         0,         0,     51.00,     75.54,     21.27,         0,         0,    951.71
    1,   15,      4.20,         0,         0,      0.73,         0,         0,         0,         0,      0.35,      2.44,      3.74,         0,         0,     11.46
    1,   16,     44.96,         0,         0,     29.48,      5.18,         0,         0,         0,     12.33,     22.30,     18.70,         0,         0,    132.95
    1,   17,     42.09,         0,         0,     38.79,      5.60,         0,         0,         0,     12.66,     18.97,     11.76,         0,         0,    129.87
    1,   18,      0.44,         0,         0,      0.06,         0,         0,         0,         0,      0.06,         0,         0,         0,         0,      0.56
    1,   19,      0.24,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.14,         0,         0,      0.38
    1,   20,     11.54,         0,         0,         0,         0,         0,         0,         0,      0.27,      3.60,     11.02,         0,         0,     26.43
    1,   21,      7.50,      5.00,         0,         0,         0,         0,         0,         0,         0,         0,      2.88,         0,         0,     15.38
    1,   22,      0.85,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.41,         0,         0,      2.26
    1,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   27,         0,         0,         0,         0,         0,   8744.29,         0,         0,         0,         0,         0,    525.81,    238.19,   9508.29
    2,    1,    490.47,         0,    616.15,   1771.81,    247.36,         0,         0,         0,    311.12,     49.50,     17.79,         0,         0,   3504.20
    2,    2,    114.58,         0,         0,   1679.38,    330.93,         0,         0,         0,    808.68,     27.83,      4.14,         0,         0,   2965.54
    2,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,      0.04
    2,    4,    124.16,         0,     48.03,    218.21,     68.51,         0,         0,         0,     52.10,     22.75,      8.74,         0,         0,    542.50
    2,    5,     87.81,         0,     15.95,    154.29,     44.46,         0,         0,         0,     15.88,     16.39,      6.85,         0,         0,    341.63
    2,    6,         0,         0,         0,      0.28,      0.02,         0,         0,         0,      1.22,         0,         0,         0,         0,      1.52
    2,    7,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    2,    8,     77.21,         0,     20.60,    104.79,     35.68,         0,         0,         0,     14.04,      5.91,      0.31,         0,         0,    258.54
    2,    9,     19.60,         0,      3.68,     42.24,     10.83,         0,         0,         0,      5.53,      2.83,      0.20,         0,         0,     84.91
    2,   10,         0,         0,         0,      0.11,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.11
    2,   11,      8.62,         0,         0,      7.80,      0.34,         0,         0,         0,      0.97,      0.79,      0.26,         0,         0,     18.78
    2,   12,     28.07,         0,         0,     44.99,      3.32,         0,         0,         0,      5.02,      3.51,      0.96,         0,         0,     85.87
    2,   13,      9.77,         0,         0,     28.78,      2.34,         0,         0,         0,      1.75,      0.74,      0.10,         0,         0,     43.48
    2,   14,     26.67,         0,         0,     52.37,      3.54,         0,         0,         0,      4.27,      2.40,      0.34,         0,         0,     89.59
    2,   15,      0.62,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,      0.08,         0,         0,      0.72
    2,   16,      5.48,         0,         0,      0.48,         0,         0,         0,         0,      0.83,      0.34,      0.32,         0,         0,      7.45
    2,   17,      5.01,         0,         0,      0.27,         0,         0,         0,         0,      0.93,      0.39,      0.23,         0,         0,      6.83
    2,   18,      0.07,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.07
    2,   19,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    2,   20,      2.17,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,      2.18
    2,   21,      1.60,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.60
    2,   22,      0.42,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.42
