TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805103, 100.00, 100.00,         0, 100.00, 100.00,   3844971, 100.00, 100.00,   1749853, 100.00, 100.00,    250646, 100.00, 100.00,   6650572, 100.00, 100.00,
    2) Non-Motorized,     34027,   4.23,   4.23,         0,      0,      0,    303371,   7.89,   7.89,    144119,   8.24,   8.24,     41263,  16.46,  16.46,    522780,   7.86,   7.86,
    2) Motorized,    771076,  95.77,  95.77,         0,      0,      0,   3541600,  92.11,  92.11,   1605734,  91.76,  91.76,    209383,  83.54,  83.54,   6127792,  92.14,  92.14
        3) Auto,    756006,  93.90,  98.05,         0,      0,      0,   3520816,  91.57,  99.41,   1601081,  91.50,  99.71,-,-,-,   6087285,  91.53,  99.34,
            4) Auto 1 pers,    628551,  78.07,  83.14,         0,      0,      0,   1264940,  32.90,  35.93,    696128,  39.78,  43.48,-,-,-,   2589619,  38.94,  42.54,
                    GP use,    627670,  77.96,  99.86,         0,      0,      0,   1264877,  32.90,  99.99,    695144,  39.73,  99.86,-,-,-,   2587690,  38.91,  99.93,
                    Toll use,       923,   0.11,   0.15,         0,      0,      0,       536,   0.01,   0.04,      1171,   0.07,   0.17,-,-,-,      2630,   0.04,   0.10
            4) Auto 2 pers,     98207,  12.20,  12.99,         0,      0,      0,   1226445,  31.90,  34.83,    450769,  25.76,  28.15,-,-,-,   1775420,  26.70,  29.17,
                    GP use,     77214,   9.59,  78.62,         0,      0,      0,   1152675,  29.98,  93.99,    406872,  23.25,  90.26,-,-,-,   1636762,  24.61,  92.19,
                    HOV use,     20997,   2.61,  21.38,         0,      0,      0,     73833,   1.92,   6.02,     43925,   2.51,   9.74,-,-,-,    138754,   2.09,   7.82,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29196,   3.63,   3.86,         0,      0,      0,   1028886,  26.76,  29.22,    453983,  25.94,  28.35,-,-,-,   1512065,  22.74,  24.84,
                    GP use,     22951,   2.85,  78.61,         0,      0,      0,    966964,  25.15,  93.98,    409758,  23.42,  90.26,-,-,-,   1399673,  21.05,  92.57,
                    HOV use,      6245,   0.78,  21.39,         0,      0,      0,     61937,   1.61,   6.02,     44234,   2.53,   9.74,-,-,-,    112416,   1.69,   7.43,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        53,   0.01,   0.01,         0,      0,      0,       548,   0.01,   0.02,       220,   0.01,   0.01,-,-,-,       821,   0.01,   0.01,
                    IMZ D2D 1 pers,        45,   0.01,  84.91,         0,      0,      0,       468,   0.01,  85.40,       187,   0.01,  85.00,-,-,-,       700,   0.01,  85.26,
                    IMZ D2D 2 pers,         6,   0.00,  11.32,         0,      0,      0,        63,   0.00,  11.50,        26,   0.00,  11.82,-,-,-,        95,   0.00,  11.57,
                    IMZ D2D 3+ pers,         2,   0.00,   3.77,         0,      0,      0,        17,   0.00,   3.10,         7,   0.00,   3.18,-,-,-,        26,   0.00,   3.17
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    209383,  83.54,  83.54,    209383,   3.15,  83.54,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     28247,  11.27,  13.49,     28247,   0.42,  13.49,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  14.63,     30637,   0.46,  14.63,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150499,  60.04,  71.88,    150499,   2.26,  71.88,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96712,  38.59,  46.19,     96712,   1.45,  46.19,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10722,   4.28,  11.09,     10722,   0.16,  11.09,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85990,  34.31,  88.91,     85990,   1.29,  88.91,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112671,  44.95,  53.81,    112671,   1.69,  53.81,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17525,   6.99,  15.55,     17525,   0.26,  15.55,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  27.19,     30637,   0.46,  27.19,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     64509,  25.74,  57.25,     64509,   0.97,  57.25
        3) Transit,     15072,   1.87,   1.95,         0,      0,      0,     20788,   0.54,   0.59,      4653,   0.27,   0.29,-,-,-,     40513,   0.61,   0.66
            4) Local Bus (LCL),      6039,   0.75,  40.07,         0,      0,      0,      8853,   0.23,  42.59,      1594,   0.09,  34.26,-,-,-,     16487,   0.25,  40.70,
                    LCL Walk,      5746,   0.71,  95.14,         0,      0,   0.00,      8552,   0.22,  96.60,      1582,   0.09,  99.26,-,-,-,     15880,   0.24,  96.32,
                    LCL Drive,       294,   0.04,   4.86,         0,      0,   0.00,       301,   0.01,   3.40,        12,   0.00,   0.74,-,-,-,       607,   0.01,   3.68
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),       615,   0.08,   4.08,         0,      0,      0,      1517,   0.04,   7.30,       682,   0.04,  14.65,-,-,-,      2814,   0.04,   6.95,
