Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4981.29,        1340.61,       17509.47,        3021.01,        1087.02,        9507.21,       13494.72,              0,              0,              0,              0,           0.24,              0,              0,              0,       65518.32,         914.59,        1853.84,         472.25,         257.65,        1018.91,          75.61,         778.68,        1977.63,          59.45,          37.34,         182.01,         174.81,          31.44,         961.28,          38.27,          38.86,         169.22
         3,       13601.74,       11589.38,      168871.14,       30254.56,       10516.11,       27059.71,       51691.67,              0,              0,              0,              0,              0,              0,              0,              0,       94739.86,        1621.93,        3869.47,         768.34,         364.43,        2073.04,         153.16,        2761.69,        4506.28,         181.77,          80.07,         452.65,         477.70,         206.02,        1956.44,         156.83,         149.50,         561.98
         4,       21499.35,       21923.59,      177253.39,       23238.97,       10304.56,       24468.57,       80926.57,           0.06,              0,              0,              0,           8.10,              0,           0.01,              0,       65967.46,        2477.34,        5705.65,        1155.56,         591.89,        2653.71,         281.95,        3172.84,        3813.07,         138.91,          30.97,         321.15,         302.53,         197.68,         809.13,          59.69,          54.30,         233.52
         5,       31019.84,       42386.84,      304801.63,       53894.30,       25227.79,       28761.84,       90513.73,           0.48,              0,           0.28,           0.08,          29.98,              0,           0.34,           0.24,       43784.99,        2334.15,        5885.24,        1069.14,         501.20,        2666.92,         144.72,        2598.62,        4216.57,         120.60,          43.88,         345.49,         184.27,         197.43,         723.54,          47.45,          43.91,         219.54
         6,       37467.39,       52685.96,      301967.26,       50454.21,       27449.14,       30947.48,       98145.48,           1.56,              0,           0.25,              0,          54.32,              0,           0.50,           0.16,       11154.76,        2586.34,        6533.22,        1200.22,         571.82,        2832.48,          73.44,        2021.69,        6036.20,         114.98,          67.15,         506.12,         104.48,         253.68,        1160.70,          59.80,          51.40,         271.04
         7,       49376.67,       70495.41,      327137.12,       39241.86,       26243.97,       43802.91,      132494.01,           0.35,              0,           1.58,           0.44,          23.99,              0,           0.90,           0.60,       10296.24,        3516.89,        9105.21,        1621.63,         814.94,        3676.36,         101.08,        2614.52,        6183.68,         134.67,          62.10,         529.17,         157.75,         214.01,        1266.51,          85.23,          59.69,         264.59
         8,       49908.83,       71663.91,      313043.72,       22247.35,       23888.64,       42493.75,      120303.09,           7.03,              0,           1.13,              0,          97.90,              0,           2.07,           0.25,        7658.41,        3449.95,        8784.00,        1554.23,         741.72,        3500.29,         132.34,        3226.11,        5470.91,         171.60,          56.09,         452.54,         143.80,          94.77,        1000.21,          64.99,          42.04,         178.13
         9,       47997.09,       71082.15,      300897.71,       16567.02,       27059.68,       36867.34,      105917.31,          63.00,              0,           7.21,           2.62,         296.81,              0,           7.41,           1.69,        6809.84,        2985.51,        8017.40,        1458.72,         688.55,        3233.20,         149.99,        3471.57,        5185.65,         193.74,          51.11,         423.19,         204.56,         142.34,        1021.92,         104.35,          67.21,         247.39
        10,       47752.12,       65570.77,      278148.01,       14504.37,       28677.80,       34702.12,       95404.75,         220.74,              0,           9.40,           2.30,         287.86,              0,          18.33,           6.31,        6612.19,        2835.03,        7748.75,        1438.38,         642.28,        3130.72,         162.61,        3525.77,        4538.45,         201.21,          43.89,         369.40,         182.68,         106.14,         851.54,          72.52,          47.80,         184.51
        11,       49644.02,       63481.88,      248589.67,       16301.47,       31397.40,       38807.14,       97351.40,         241.58,              0,           7.81,           1.52,         342.89,              0,          14.30,           2.91,        6389.66,        3153.27,        8244.08,        1503.20,         699.97,        3211.11,         161.52,        3686.66,        4381.80,         180.65,          41.06,         342.50,         204.77,         118.99,         917.04,          87.74,          58.34,         212.09
        12,       50118.29,       57117.77,      224280.54,       15577.52,       29073.96,       36825.32,       87788.20,         727.13,              0,          50.96,           4.48,         658.57,              0,          56.23,           5.10,        5680.09,        2730.59,        7609.86,        1375.96,         633.84,        2916.47,         124.01,        3454.43,        4201.93,         181.18,          44.79,         330.25,         196.19,          94.11,         813.66,          68.67,          46.54,         171.20
        13,       45897.04,       48419.93,      201924.25,       13278.61,       19100.84,       27531.59,       67161.85,         710.26,              0,         127.27,           2.52,         448.14,              0,         127.19,           5.56,        5193.70,        2655.01,        6960.74,        1341.45,         548.58,        2738.76,         119.25,        3579.91,        4189.63,         195.49,          42.76,         321.43,         221.17,          98.76,         874.61,          76.61,          51.41,         191.01
        14,       45741.16,       42524.28,      176900.71,       10717.03,       12099.15,       21748.19,       54022.69,        1197.20,              0,          54.94,          12.04,         928.69,              0,          89.34,          15.72,        4872.39,        2337.09,        6265.38,        1265.94,         513.88,        2521.90,         106.60,        3353.65,        3819.77,         185.46,          38.07,         295.96,         210.98,          98.17,         845.56,          69.98,          47.54,         175.99
        15,       46199.88,       35911.51,      162638.16,        6489.65,       10763.26,       33921.58,       68878.46,        1151.29,              0,          65.13,           4.33,        1221.95,              0,          79.79,           8.42,        4244.27,        2222.85,        6097.66,        1162.03,         484.14,        2348.66,         110.33,        3485.73,        3455.37,         195.83,          43.22,         275.41,         217.88,          79.72,         717.89,          62.05,          42.37,         164.46
