Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4391.77,        1345.48,       18817.04,        3837.34,        1326.23,        2733.34,       13591.53,        7420.46,        6690.07,        2818.52,           0.82,           0.82,           0.18,           0.08,           5.53,           5.53,           1.23,           0.24,         746.54,         245.07
         3,       12807.91,       11195.28,      176792.86,       33553.32,       10879.96,       13038.83,       52120.67,       16340.94,       25820.94,       10244.64,              0,           0.73,              0,              0,              0,           4.93,              0,              0,        2057.79,        1075.95
         4,       22470.45,       20910.01,      182924.52,       23900.41,        9823.00,       24074.55,       81949.37,       24737.95,       22753.51,        7838.24,           9.23,          45.01,           1.42,           0.04,          92.50,         204.16,          13.78,           0.23,        3815.42,        2255.07
         5,       32513.99,       40971.23,      313334.88,       52370.61,       23823.94,       29066.70,       93956.52,       27261.35,       34184.56,       10896.10,          72.96,          67.57,           6.24,          11.71,         212.36,         221.33,         104.85,         135.81,        5456.77,        2694.99
         6,       38684.70,       50895.22,      304068.76,       40471.09,       26658.25,       30688.83,       98728.21,       25181.91,       35090.99,        9529.79,          36.59,           5.47,           6.42,           7.00,         340.93,         215.37,          99.79,          69.46,        6362.96,        2618.11
         7,       49214.90,       67567.59,      330407.48,       37122.58,       28851.13,       43455.72,      131556.05,       22171.48,       38495.16,        9890.81,           7.19,          87.82,           3.43,           9.65,         165.83,         510.62,          32.01,          78.12,        8185.09,        3745.72
         8,       48459.81,       69431.59,      313751.14,       29488.10,       29769.42,       43611.56,      119724.42,       14255.34,       32912.90,        8371.19,          82.07,         420.56,           8.33,          13.74,         349.03,        1074.08,          96.01,         103.37,        8028.05,        3812.76
         9,       47630.59,       69435.90,      300544.95,       22941.77,       29271.96,       37964.72,      103790.58,       12403.36,       23531.51,        6313.40,         414.29,         175.93,          14.70,           9.83,        1122.80,         928.70,         145.47,          63.23,        7928.70,        3231.63
        10,       48834.92,       65726.50,      280487.86,       17862.67,       25512.63,       37554.83,       95977.75,       10749.23,       16779.27,        4663.79,         164.68,         199.05,          30.46,          66.67,         558.89,         738.82,         268.89,         405.87,        8245.68,        3233.78
        11,       49516.51,       63253.53,      249159.98,       14745.96,       25015.91,       41452.59,       96028.05,        9769.46,       14917.15,        4424.69,          97.62,         214.58,          17.14,          17.85,         640.00,         826.78,          78.46,          80.64,        8363.57,        3696.64
        12,       49322.57,       56510.37,      225516.78,       11083.66,       20724.52,       38892.38,       86719.12,        8095.08,       12900.77,        4007.60,         273.19,         297.79,          17.88,          15.32,        1122.73,         856.91,          82.50,          62.54,        8277.40,        3446.97
        13,       45672.71,       48091.57,      201725.62,        8308.80,       18254.11,       32352.08,       69171.63,        7074.23,       12698.49,        4230.59,         115.98,         380.20,          31.71,          30.40,         486.48,        1030.61,         129.20,         101.32,        7665.16,        2945.37
        14,       46426.88,       43276.10,      179102.66,        6904.16,       15683.68,       25200.74,       56490.23,        6301.99,       12281.17,        4262.60,         356.21,         639.91,          19.37,          21.23,         884.58,        1698.97,          37.29,          65.69,        7707.23,        2232.60
        15,       46554.86,       37263.94,      161742.58,        5619.37,       12497.07,       35493.22,       67804.62,        5919.71,       12920.32,        4402.36,         277.50,         542.66,          40.00,          57.28,         900.30,        1434.29,         121.05,         119.85,        7773.88,        3908.25
        16,       45342.20,       32142.16,      142937.80,        4714.82,       10595.29,       26129.15,       51935.15,        5114.78,       12555.61,        4413.18,         545.30,         858.17,          33.31,          33.55,        1353.01,        2040.69,          87.91,          75.93,        7575.30,        2442.04
        17,       44240.36,       27525.23,      127527.21,        3900.06,        9270.43,       23335.21,       44760.37,        4566.38,       12569.91,        4494.83,         521.12,         874.74,          75.19,          57.59,        1357.47,        2346.91,         179.68,         121.02,        7439.02,        2104.62
        18,       43535.82,       23399.22,      113319.42,        3191.54,        7999.25,       21192.37,       39730.02,        4317.18,       11898.25,        4409.93,         532.46,         871.27,          51.06,          79.23,        1547.76,        1669.23,         126.08,         140.39,        7276.15,        1888.56
        19,       43239.59,       19618.36,      102486.42,        2722.57,        6443.99,       20707.45,       39540.56,        4040.31,       11830.01,        4316.61,         847.84,         818.24,          73.81,          67.95,        1923.64,        1260.23,         168.47,         121.32,        7189.28,        1891.66
        20,       41772.24,       16990.06,       89295.42,        2251.72,        5510.53,       17600.24,       31924.11,        3893.67,       11815.94,        4316.40,         795.71,         532.91,          90.85,          98.91,        1734.15,        1252.32,         194.74,         135.72,        7002.16,        1602.29
        21,       39791.65,       14779.02,       83478.92,        2037.67,        4354.68,       15684.67,       29153.81,        3789.82,       11479.84,        4276.61,         890.34,         640.64,         108.60,         107.43,        1638.09,        1485.52,         238.84,         202.05,        6637.02,        1422.87
