Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       90014.64,      120505.00,      775798.47,      112208.35,       48677.53,      151440.22,      397956.81,              0,              0,              0,              0,           0.25,              0,              0,              0,      250901.28,        9223.19,       21486.21,        4354.31,        2522.02,       10034.46,         955.83,       15448.53,       23838.02,         901.91,         398.80,        2831.48,        1552.00,         815.60,        6356.31,         340.19,         317.27,        1430.50
         1,      149193.31,      225778.35,     1089117.16,      118482.83,       89633.72,      133984.23,      370474.37,           0.98,              0,           0.25,           0.07,          33.68,              0,           0.43,           0.35,       50185.76,        9611.79,       24272.38,        4258.61,        1992.14,        9933.18,         502.94,       12569.35,       20821.26,         684.64,         281.26,        2342.00,         797.03,         562.84,        3836.29,         266.76,         192.47,         805.88
         2,      137499.47,      178445.53,      765792.56,       46397.18,       82474.05,      102551.61,      256835.15,           7.63,              0,           4.30,           2.41,         139.67,              0,           3.94,           3.08,       16846.54,        7552.33,       20043.55,        3573.19,        1602.37,        7970.00,         393.74,       10879.68,       15065.16,         637.39,         212.14,        1617.57,         851.56,         359.65,        3131.09,         251.73,         173.05,         655.62
         3,      123099.10,      120406.41,      531169.77,       32631.59,       52275.79,       71627.60,      167353.80,         343.84,              0,          19.03,           2.62,         504.16,              0,          34.17,           5.67,       12538.35,        6142.77,       16804.63,        3157.57,        1319.94,        6609.95,         323.99,        9774.77,       11404.47,         576.85,         165.33,        1180.68,         821.60,         271.40,        2484.10,         204.29,         139.79,         535.62
         4,      111124.36,       77321.31,      364318.32,       12947.95,       27216.21,       55942.24,      117325.13,        1081.45,              0,         110.70,          11.02,        1096.98,              0,         138.83,          14.69,        9861.44,        4751.33,       13154.89,        2650.92,        1029.83,        5232.37,         247.40,        8337.00,        8727.37,         493.73,         126.63,         887.29,         686.37,         199.85,        1889.78,         146.60,         101.56,         402.53
         5,      101393.85,       48463.84,      261531.20,        6439.28,       17776.83,       44654.99,       85290.40,        1648.84,              0,         192.48,          12.72,        2018.39,              0,         211.73,          18.82,        7495.02,        3623.51,       10269.07,        2121.83,         783.24,        4065.53,         185.78,        7152.83,        6559.63,         418.75,          92.30,         645.19,         604.39,         156.98,        1383.81,         107.34,          74.84,         294.94
         6,       94603.95,       30268.42,      194072.04,        4012.78,       10049.95,       33854.08,       60468.90,        2019.32,              0,         110.50,          22.13,        2431.02,              0,         121.73,          24.83,        5641.36,        2769.95,        7959.88,        1683.59,         590.39,        3156.62,         147.37,        5794.95,        4883.31,         333.24,          65.76,         468.28,         513.87,         101.72,         945.43,          62.90,          43.02,         195.90
         7,       86514.45,       20740.57,      147886.07,        2753.98,        6453.20,       28448.11,       47112.58,        2939.23,              0,         164.87,          27.69,        5884.95,              0,         209.03,          40.53,        4396.66,        2216.31,        6421.63,        1406.45,         490.64,        2569.05,         130.61,        5101.49,        3902.28,         303.40,          57.23,         366.44,         486.28,          94.34,         798.14,          59.58,          40.43,         173.44
         8,       76685.65,       14323.22,      114071.23,        1979.25,        4153.32,       23657.69,       37660.32,        1855.64,              0,         185.86,          39.91,        7737.17,              0,         254.69,          63.81,        3378.66,        1776.00,        5303.84,        1194.09,         405.91,        2109.17,         112.50,        4393.08,        3240.40,         257.91,          48.21,         314.63,         458.80,          78.00,         612.35,          48.52,          32.84,         134.83
         9,       68024.46,       10342.12,       93875.24,        1409.61,        2652.22,       20606.23,       30457.84,        1362.96,              0,         148.24,          61.64,        6528.23,              0,         177.90,          72.36,        2595.97,        1484.11,        4537.63,        1041.75,         368.53,        1813.10,         112.34,        3867.53,        2843.28,         242.11,          43.82,         275.80,         397.94,          67.81,         523.50,          41.14,          28.34,         109.65
        10,       61585.47,        7136.06,       74952.55,        1090.69,        1856.96,       18221.18,       25147.48,        1074.68,              0,         184.17,          81.74,        4745.59,              0,         207.11,         102.44,        1981.29,        1241.95,        3836.95,         884.89,         295.49,        1517.46,         101.97,        3299.82,        2526.35,         205.29,          42.57,         249.70,         380.40,          65.21,         431.69,          42.68,          29.44,         102.97
        11,       55439.51,        4985.14,       62235.82,         828.87,        1374.30,       15479.90,       20312.75,        1159.65,              0,         247.93,          82.56,        4618.75,              0,         249.58,         102.33,        1538.89,        1013.30,        3287.54,         767.85,         250.45,        1290.35,          90.02,        2863.98,        2240.31,         185.26,          38.68,         223.87,         392.95,          58.71,         370.50,          38.48,          26.94,          89.86
        12,       49162.41,        3734.72,       51910.69,         677.26,        1167.78,       13634.05,       17332.34,        1812.00,              0,         265.41,         179.34,        5515.22,              0,         283.37,         207.17,        1218.88,         880.17,        2920.74,         695.33,         237.65,        1143.08,          87.85,        2604.35,        2000.20,         176.66,          33.75,         193.49,         330.49,          53.39,         320.57,          35.03,          24.49,          80.76
        13,       43788.35,        2956.70,       44702.09,         550.48,         906.49,       12053.84,       14884.78,        1772.14,              0,         340.35,         319.98,        6365.42,              0,         346.67,         327.14,         992.08,         766.88,        2636.67,         640.91,         221.97,        1028.08,          81.03,        2210.49,        1863.98,         161.05,          30.16,         178.71,         298.66,          47.07,         270.49,          30.70,          21.21,          70.05
        14,       40811.23,        2580.02,       38557.33,         432.43,         784.78,       10744.12,       12830.14,        1988.26,              0,         227.32,         181.27,        5613.23,              0,         247.64,         209.59,         786.43,         661.91,        2387.50,         572.83,         192.07,         912.53,          72.06,        1935.90,        1678.14,         146.98,          24.38,         152.14,         254.08,          37.68,         225.24,          25.74,          17.51,          58.65
        15,       36145.93,        2188.00,       32989.54,         363.15,         658.08,        9792.72,       11329.04,        2028.10,              0,         284.33,         238.22,        6685.17,              0,         312.88,         261.35,         615.24,         602.50,        2234.84,         552.36,         193.32,         851.30,          70.62,        1796.64,        1629.09,         144.07,          26.08,         151.23,         251.34,          40.15,         222.59,          28.66,          19.37,          57.15
        16,       32738.86,        1715.52,       29459.60,         306.02,         668.48,        8421.62,        9576.97,        2260.87,              0,         258.12,         212.76,        6842.19,              0,         304.54,         253.97,         472.58,         528.82,        2028.95,         503.28,         171.61,         764.93,          62.17,        1524.74,        1480.90,         128.00,          23.14,         137.09,         219.83,          34.33,         197.30,          25.71,          16.32,          48.88
        17,       28475.04,        1409.27,       25295.78,         271.27,         596.82,        7537.87,        8214.82,        2417.59,              0,         289.26,         247.48,        6744.09,              0,         335.97,         300.37,         375.74,         459.54,        1830.73,         450.62,         147.97,         676.82,          55.04,        1251.46,        1394.61,         110.47,          21.17,         126.87,         192.02,          32.67,         170.87,          24.93,          15.01,          44.41
        18,       26278.69,        1286.18,       22648.84,         225.07,         538.91,        7127.69,        7511.61,        2245.11,              0,         273.78,         196.60,        5757.92,              0,         297.09,         236.22,         235.63,         428.03,        1728.38,         419.70,         144.92,         625.54,          46.79,        1119.10,        1329.80,         103.93,          21.31,         119.18,         173.76,          28.62,         148.20,          21.39,          11.91,          38.78
        19,       22847.78,        1082.66,       19671.06,         197.13,         475.69,        6376.53,        6603.58,        2782.77,              0,         282.21,         238.16,        6992.18,              0,         338.02,         291.87,         192.74,         392.91,        1609.81,         395.87,         131.79,         574.07,          43.63,        1038.37,        1266.01,          93.34,          19.43,         111.67,         151.08,          29.30,         134.66,          23.07,          12.12,          38.73
