Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       10360.15,        5947.70,       86328.69,       17417.09,        5841.71,       25869.74,       42684.04,              0,              0,              0,              0,           0.01,              0,              0,              0,      105968.66,        1457.41,        3158.80,         742.99,         374.89,        1711.25,         180.29,        2279.99,        5144.64,         178.47,         112.30,         629.89,         328.21,         107.82,        2178.43,          99.17,          97.98,         394.81
         3,       16503.27,       17134.23,      207320.43,       32514.81,       12722.28,       19392.33,       48201.54,           0.42,              0,           0.25,           0.03,          20.83,              0,           0.29,           0.03,       73552.45,        1667.74,        4145.59,         800.83,         422.20,        2174.56,         188.57,        3273.65,        3787.02,         203.24,          70.41,         486.52,         604.03,         211.44,        1010.29,         111.63,         111.67,         433.28
         4,       39116.74,       58272.84,      420218.10,       72260.59,       35404.60,       40799.47,      140545.10,           1.36,              0,           1.84,           0.04,          63.39,              0,           1.32,           0.42,       79817.90,        3258.87,        7743.46,        1489.74,         675.49,        3486.59,         318.05,        3551.89,        7034.93,         152.10,          74.42,         749.80,         299.39,         281.58,        1272.21,          62.17,          56.87,         275.49
         5,       44978.94,       72454.06,      415441.68,       60497.50,       38051.43,       41032.62,      121451.62,          29.24,              0,           3.71,           0.87,         199.31,              0,           3.88,           0.47,       19508.73,        2875.94,        7186.13,        1279.64,         585.55,        3170.85,         110.32,        3219.82,        8043.88,         228.78,         125.56,         879.10,         216.02,         299.21,        1256.05,          76.42,          67.28,         339.12
         6,       65181.31,      103701.97,      462139.02,       38625.48,       35556.12,       60277.39,      181358.61,         226.21,              0,          47.93,           3.50,         448.15,              0,          56.03,           6.12,       12757.04,        4087.70,       10533.31,        1899.06,         903.10,        4299.44,         147.88,        3721.74,        8828.79,         213.24,         116.96,         957.15,         211.56,         223.39,        1541.83,          93.95,          66.04,         302.63
         7,       68961.22,      105108.17,      450257.94,       26707.84,       44235.44,       59438.53,      167030.54,         483.53,              0,          58.19,           4.72,         562.77,              0,          62.89,           7.22,        9958.31,        4478.61,       11468.16,        2028.59,        1012.07,        4586.56,         209.70,        4864.63,        8899.29,         285.73,         125.78,        1010.44,         306.32,         188.18,        1642.87,         128.94,          84.35,         325.01
         8,       68130.08,      100824.05,      394248.16,       24905.66,       48208.77,       52389.40,      141730.57,        1763.70,              0,         119.93,          11.19,        1078.47,              0,         150.33,          13.70,        8745.58,        3748.95,       10084.26,        1860.01,         822.48,        4092.51,         226.50,        4984.61,        7671.62,         297.15,          98.75,         827.70,         343.21,         172.11,        1506.02,         115.37,          77.76,         310.44
         9,       71385.53,       89509.53,      339654.20,       22235.11,       36058.31,       52519.93,      131737.90,        1964.76,              0,         142.45,           7.87,        2395.39,              0,         166.33,          15.65,        8720.23,        3808.79,       10715.19,        1957.45,         899.41,        4179.81,         197.71,        5115.96,        7154.83,         292.50,         105.85,         790.41,         347.82,         153.89,        1420.53,         107.59,          72.81,         278.76
